District,Number_of_Cases,Week_Start_Date,Month,Year,Week,Week_End_Date,Avg Max Temp (°C),Avg Min Temp (°C),Avg Apparent Max Temp (°C),Avg Apparent Min Temp (°C),Total Precipitation (mm),Total Rain (mm),Avg Wind Speed (km/h),Max Wind Gusts (km/h),Weather Code,Avg Daylight Duration (hours),Avg Sunrise Time,Avg Sunset Time
Ampara,0,2007-01-01,1,2007,1,2007-01-08,26.9375,21.8625,28.85,24.1,8,8,18.2,44.3,3,11.7145833333333,376,1079
Ampara,0,2007-01-08,1,2007,2,2007-01-15,26.35,23.325,30.2625,26.7,86.1,86.1,17.025,43.6,53,11.7333333333333,378,1082
Ampara,0,2007-01-15,1,2007,3,2007-01-22,27.2125,23.1625,29.575,25.9625,3.1,3.1,20.1875,48.2,51,11.7541666666667,380,1085
Ampara,0,2007-01-22,1,2007,4,2007-01-29,26.725,23.0375,29.95,26.1125,53.6,53.6,17.2,42.5,61,11.7833333333333,381,1088
Ampara,0,2007-01-29,1,2007,5,2007-02-05,27.3625,22.9625,30.75,26.125,8.2,8.2,17.2625,40,51,11.8125,382,1090
Ampara,0,2007-02-05,2,2007,6,2007-02-12,27.8625,21.775,31.8875,25.2625,10.3,10.3,15.025,36.4,51,11.85625,381,1092
Ampara,0,2007-02-12,2,2007,7,2007-02-19,29,23.475,34.2375,27.575,5.3,5.3,11.95,40.3,51,11.8958333333333,380,1093
Ampara,0,2007-02-19,2,2007,8,2007-02-26,27.9375,23.3,30.775,26.4125,8.4,8.4,18.4,47.5,51,11.9375,377,1094
Ampara,1,2007-02-26,2,2007,9,2007-03-05,29.2875,22.825,34.5875,26.85,3.9,3.9,13.475,38.9,1,11.9916666666667,375,1095
Ampara,0,2007-03-05,3,2007,10,2007-03-12,29.15,22,33.6875,25.35,5.5,5.5,15,38.9,1,12.0291666666667,372,1094
Ampara,0,2007-03-12,3,2007,11,2007-03-19,29.325,23.275,34.6,27.9,16.2,16.2,14.1625,36,51,12.075,369,1094
Ampara,0,2007-03-19,3,2007,12,2007-03-26,30.8125,21.6125,35.775,24.9,0,0,13.0625,33.5,1,12.1208333333333,366,1093
Ampara,0,2007-03-26,3,2007,13,2007-04-02,31.075,22.65,36.725,26.75,2.2,2.2,13.225,33.5,1,12.1708333333333,362,1092
Ampara,0,2007-04-02,4,2007,14,2007-04-09,29.575,24.425,35.1,29.475,89.7,89.7,12.5375,36,63,12.2166666666667,359,1092
Ampara,0,2007-04-09,4,2007,15,2007-04-16,28.1875,23.95,33.5875,28.5,104,104,11.95,35.6,61,12.2625,355,1091
Ampara,0,2007-04-16,4,2007,16,2007-04-23,30.575,24.8125,37.475,29.925,16.9,16.9,9.7,31.3,53,12.30625,352,1091
Ampara,0,2007-04-23,4,2007,17,2007-04-30,31.15,24.7625,38.625,30.05,25.3,25.3,10.225,29.2,53,12.35,350,1091
Ampara,0,2007-04-30,4,2007,18,2007-05-07,31.7375,25.5125,39.6625,31.1625,36.3,36.3,9.675,28.4,63,12.3875,348,1091
Ampara,0,2007-05-07,5,2007,19,2007-05-14,32.6875,25.6875,39.975,30.8,13.7,13.7,11.8125,31.3,3,12.4270833333333,346,1092
Ampara,0,2007-05-14,5,2007,20,2007-05-21,33.525,25.4,39.8125,29.7125,4.2,4.2,14.1875,36.4,1,12.4625,345,1093
Ampara,0,2007-05-21,5,2007,21,2007-05-28,32.6375,26.0875,39.4125,30.75,22,22,13.3625,40.7,51,12.4895833333333,345,1094
Ampara,0,2007-05-28,5,2007,22,2007-06-04,32.5125,25.7625,39.925,31.4625,12.7,12.7,10.475,37.8,51,12.5125,345,1095
Ampara,1,2007-06-04,6,2007,23,2007-06-11,32.45,25.9,39.85,31.0875,31.8,31.8,11.8,39.2,63,12.53125,345,1097
Ampara,1,2007-06-11,6,2007,24,2007-06-18,30.5125,25.65,36.375,30.725,25,25,10.95,32,55,12.54375,346,1099
Ampara,1,2007-06-18,6,2007,25,2007-06-25,31.2125,25.5375,36.4375,29.85,29.4,29.4,13.875,58,3,12.54375,348,1100
Ampara,0,2007-06-25,6,2007,26,2007-07-02,32.3625,25.675,37.8875,29.8875,22.1,22.1,15.6625,52.6,53,12.5416666666667,349,1102
Ampara,0,2007-07-02,7,2007,27,2007-07-09,33.675,25.5,38.8625,29.5625,10.1,10.1,13.875,42.5,1,12.5291666666667,351,1103
Ampara,0,2007-07-09,7,2007,28,2007-07-16,33.925,25.4125,39.7,29.0625,6.2,6.2,14.2625,42.8,1,12.51875,352,1104
Ampara,0,2007-07-16,7,2007,29,2007-07-23,31.8,25.3625,37.6875,30.2125,16.3,16.3,9.425,49.3,61,12.49375,354,1104
Ampara,0,2007-07-23,7,2007,30,2007-07-30,30.5,24.675,36.9875,29.8125,25.8,25.8,7.6375,31,53,12.4625,355,1103
Ampara,0,2007-07-30,7,2007,31,2007-08-06,32.325,25.1625,36.3625,28.3375,1.3,1.3,17.1875,49.7,2,12.4291666666667,356,1101
Ampara,0,2007-08-06,8,2007,32,2007-08-13,33.925,25.4375,40.175,29.5375,11.2,11.2,9.95,39.2,1,12.4,356,1100
Ampara,0,2007-08-13,8,2007,33,2007-08-20,33.225,25.4625,39.325,30.2375,4.2,4.2,10.2875,34.6,51,12.3604166666667,356,1097
Ampara,0,2007-08-20,8,2007,34,2007-08-27,32.8625,25.2875,39.1,29.8375,26.5,26.5,10.475,42.5,63,12.3083333333333,356,1094
Ampara,0,2007-08-27,8,2007,35,2007-09-03,31.85,25.2625,36.9625,28.5875,30.5,30.5,16.1125,43.9,63,12.26875,355,1091
Ampara,0,2007-09-03,9,2007,36,2007-09-10,31.8625,25.325,37.8,29.8625,12.7,12.7,14.075,41.8,2,12.2208333333333,354,1087
Ampara,0,2007-09-10,9,2007,37,2007-09-17,32.0375,25.2,38.3875,29.225,29,29,16.1,41.8,63,12.1770833333333,353,1084
Ampara,0,2007-09-17,9,2007,38,2007-09-24,32.9125,25.2875,38.375,29.2375,9,9,14.625,42.5,51,12.1270833333333,352,1080
Ampara,0,2007-09-24,9,2007,39,2007-10-01,32.525,25.4875,38.75,29.6125,17.5,17.5,13.825,39.6,61,12.0833333333333,351,1076
Ampara,0,2007-10-01,10,2007,40,2007-10-08,32.6125,25.0125,37.925,28.525,11.8,11.8,14.7875,43.2,51,12.0375,350,1072
Ampara,0,2007-10-08,10,2007,41,2007-10-15,31.0625,24.7,36.9,29.175,34.8,34.8,13.575,43.9,63,11.9875,350,1069
Ampara,0,2007-10-15,10,2007,42,2007-10-22,28.7,24.0875,34.6375,28.85,105.6,105.6,8.975,36,63,11.9479166666667,349,1066
Ampara,0,2007-10-22,10,2007,43,2007-10-29,29.6625,24,35.8,28.725,101.9,101.9,8.35,42.8,63,11.8979166666667,350,1063
Ampara,0,2007-10-29,10,2007,44,2007-11-05,29.4625,24.0125,35.7625,28.9375,62.4,62.4,8.775,42.1,63,11.8666666666667,350,1062
Ampara,1,2007-11-05,11,2007,45,2007-11-12,29.125,23.4,35.05,27.8625,57.9,57.9,9.5125,29.2,63,11.825,351,1061
Ampara,1,2007-11-12,11,2007,46,2007-11-19,28.7125,23.625,32.95,26.9375,20.4,20.4,15.0375,40.7,3,11.7895833333333,353,1061
Ampara,0,2007-11-19,11,2007,47,2007-11-26,27.775,23.5,32.475,27.6,48.3,48.3,12.8625,44.6,63,11.7604166666667,356,1061
Ampara,0,2007-11-26,11,2007,48,2007-12-03,28.1125,23.2625,32,26.7375,7.4,7.4,14.8875,41.8,51,11.7375,359,1063
Ampara,0,2007-12-03,12,2007,49,2007-12-10,27,23.5125,30.7125,27,43.4,43.4,16.7875,47.5,63,11.7166666666667,362,1065
Ampara,2,2007-12-10,12,2007,50,2007-12-17,26.35,23.5125,29.7875,26.9375,131.6,131.6,17.325,44.6,61,11.7083333333333,365,1068
Ampara,0,2007-12-17,12,2007,51,2007-12-24,26.8,23.3,30.8,27.25,81.8,81.8,15.0875,47.5,63,11.7,369,1071
Ampara,0,2007-12-24,12,2007,52,2007-12-31,27.0375,21.3375,29.8125,24.05,11.5,11.5,15.3625,37.8,3,11.70625,372,1075
Ampara,0,2007-12-31,12,2007,1,2008-01-07,26.3,22.825,29.575,26.1,64,64,16.2625,43.6,51,11.7145833333333,375,1078
Ampara,0,2008-01-07,1,2008,2,2008-01-14,25.925,22.9375,29.9875,26.6125,100.3,100.3,13.325,35.3,61,11.73125,378,1082
Ampara,0,2008-01-14,1,2008,3,2008-01-21,26.9625,22.1375,29.825,24.8,25.9,25.9,16.0875,41.4,2,11.75,380,1085
Ampara,0,2008-01-21,1,2008,4,2008-01-28,27.7,22.925,32.4875,26.9125,37.5,37.5,13.0875,40.3,51,11.7791666666667,381,1088
