District,Number_of_Cases,Week_Start_Date,Year,Month,Week,Week_End_Date,Avg Max Temp (°C),Avg Min Temp (°C),Avg Apparent Max Temp (°C),Avg Apparent Min Temp (°C),Total Precipitation (mm),Avg Wind Speed (km/h),Max Wind Gusts (km/h),Avg Daylight Duration (hours)
Ampara,0,2007-01-01,2007,1,1,2007-01-08,26.9375,21.8625,28.85,24.1,8.0,18.2,44.3,11.7145833333333
Ampara,0,2007-01-08,2007,1,2,2007-01-15,26.35,23.325,30.2625,26.7,86.1,17.025,43.6,11.7333333333333
Ampara,0,2007-01-15,2007,1,3,2007-01-22,27.2125,23.1625,29.575,25.9625,3.1,20.1875,48.2,11.7541666666667
Ampara,0,2007-01-22,2007,1,4,2007-01-29,26.725,23.0375,29.95,26.1125,53.6,17.2,42.5,11.7833333333333
Ampara,0,2007-01-29,2007,1,5,2007-02-05,27.3625,22.9625,30.75,26.125,8.2,17.2625,40.0,11.8125
Ampara,0,2007-02-05,2007,2,6,2007-02-12,27.8625,21.775,31.8875,25.2625,10.3,15.025,36.4,11.85625
Ampara,0,2007-02-12,2007,2,7,2007-02-19,29.0,23.475,34.2375,27.575,5.3,11.95,40.3,11.8958333333333
Ampara,0,2007-02-19,2007,2,8,2007-02-26,27.9375,23.3,30.775,26.4125,8.4,18.4,47.5,11.9375
Ampara,1,2007-02-26,2007,2,9,2007-03-05,29.2875,22.825,34.5875,26.85,3.9,13.475,38.9,11.9916666666667
Ampara,0,2007-03-05,2007,3,10,2007-03-12,29.15,22.0,33.6875,25.35,5.5,15.0,38.9,12.0291666666667
Ampara,0,2007-03-12,2007,3,11,2007-03-19,29.325,23.275,34.6,27.9,16.2,14.1625,36.0,12.075
Ampara,0,2007-03-19,2007,3,12,2007-03-26,30.8125,21.6125,35.775,24.9,0.0,13.0625,33.5,12.1208333333333
Ampara,0,2007-03-26,2007,3,13,2007-04-02,31.075,22.65,36.725,26.75,2.2,13.225,33.5,12.1708333333333
Ampara,0,2007-04-02,2007,4,14,2007-04-09,29.575,24.425,35.1,29.475,89.7,12.5375,36.0,12.2166666666667
Ampara,0,2007-04-09,2007,4,15,2007-04-16,28.1875,23.95,33.5875,28.5,104.0,11.95,35.6,12.2625
Ampara,0,2007-04-16,2007,4,16,2007-04-23,30.575,24.8125,37.475,29.925,16.9,9.7,31.3,12.30625
Ampara,0,2007-04-23,2007,4,17,2007-04-30,31.15,24.7625,38.625,30.05,25.3,10.225,29.2,12.35
Ampara,0,2007-04-30,2007,4,18,2007-05-07,31.7375,25.5125,39.6625,31.1625,36.3,9.675,28.4,12.3875
Ampara,0,2007-05-07,2007,5,19,2007-05-14,32.6875,25.6875,39.975,30.8,13.7,11.8125,31.3,12.4270833333333
Ampara,0,2007-05-14,2007,5,20,2007-05-21,33.525,25.4,39.8125,29.7125,4.2,14.1875,36.4,12.4625
Ampara,0,2007-05-21,2007,5,21,2007-05-28,32.6375,26.0875,39.4125,30.75,22.0,13.3625,40.7,12.4895833333333
Ampara,0,2007-05-28,2007,5,22,2007-06-04,32.5125,25.7625,39.925,31.4625,12.7,10.475,37.8,12.5125
Ampara,1,2007-06-04,2007,6,23,2007-06-11,32.45,25.9,39.85,31.0875,31.8,11.8,39.2,12.53125
Ampara,1,2007-06-11,2007,6,24,2007-06-18,30.5125,25.65,36.375,30.725,25.0,10.95,32.0,12.54375
Ampara,1,2007-06-18,2007,6,25,2007-06-25,31.2125,25.5375,36.4375,29.85,29.4,13.875,58.0,12.54375
Ampara,0,2007-06-25,2007,6,26,2007-07-02,32.3625,25.675,37.8875,29.8875,22.1,15.6625,52.6,12.5416666666667
Ampara,0,2007-07-02,2007,7,27,2007-07-09,33.675,25.5,38.8625,29.5625,10.1,13.875,42.5,12.5291666666667
Ampara,0,2007-07-09,2007,7,28,2007-07-16,33.925,25.4125,39.7,29.0625,6.2,14.2625,42.8,12.51875
Ampara,0,2007-07-16,2007,7,29,2007-07-23,31.8,25.3625,37.6875,30.2125,16.3,9.425,49.3,12.49375
Ampara,0,2007-07-23,2007,7,30,2007-07-30,30.5,24.675,36.9875,29.8125,25.8,7.6375,31.0,12.4625
Ampara,0,2007-07-30,2007,7,31,2007-08-06,32.325,25.1625,36.3625,28.3375,1.3,17.1875,49.7,12.4291666666667
Ampara,0,2007-08-06,2007,8,32,2007-08-13,33.925,25.4375,40.175,29.5375,11.2,9.95,39.2,12.4
Ampara,0,2007-08-13,2007,8,33,2007-08-20,33.225,25.4625,39.325,30.2375,4.2,10.2875,34.6,12.3604166666667
Ampara,0,2007-08-20,2007,8,34,2007-08-27,32.8625,25.2875,39.1,29.8375,26.5,10.475,42.5,12.3083333333333
Ampara,0,2007-08-27,2007,8,35,2007-09-03,31.85,25.2625,36.9625,28.5875,30.5,16.1125,43.9,12.26875
Ampara,0,2007-09-03,2007,9,36,2007-09-10,31.8625,25.325,37.8,29.8625,12.7,14.075,41.8,12.2208333333333
Ampara,0,2007-09-10,2007,9,37,2007-09-17,32.0375,25.2,38.3875,29.225,29.0,16.1,41.8,12.1770833333333
Ampara,0,2007-09-17,2007,9,38,2007-09-24,32.9125,25.2875,38.375,29.2375,9.0,14.625,42.5,12.1270833333333
Ampara,0,2007-09-24,2007,9,39,2007-10-01,32.525,25.4875,38.75,29.6125,17.5,13.825,39.6,12.0833333333333
Ampara,0,2007-10-01,2007,10,40,2007-10-08,32.6125,25.0125,37.925,28.525,11.8,14.7875,43.2,12.0375
Ampara,0,2007-10-08,2007,10,41,2007-10-15,31.0625,24.7,36.9,29.175,34.8,13.575,43.9,11.9875
Ampara,0,2007-10-15,2007,10,42,2007-10-22,28.7,24.0875,34.6375,28.85,105.6,8.975,36.0,11.9479166666667
Ampara,0,2007-10-22,2007,10,43,2007-10-29,29.6625,24.0,35.8,28.725,101.9,8.35,42.8,11.8979166666667
Ampara,0,2007-10-29,2007,10,44,2007-11-05,29.4625,24.0125,35.7625,28.9375,62.4,8.775,42.1,11.8666666666667
Ampara,1,2007-11-05,2007,11,45,2007-11-12,29.125,23.4,35.05,27.8625,57.9,9.5125,29.2,11.825
Ampara,1,2007-11-12,2007,11,46,2007-11-19,28.7125,23.625,32.95,26.9375,20.4,15.0375,40.7,11.7895833333333
Ampara,0,2007-11-19,2007,11,47,2007-11-26,27.775,23.5,32.475,27.6,48.3,12.8625,44.6,11.7604166666667
Ampara,0,2007-11-26,2007,11,48,2007-12-03,28.1125,23.2625,32.0,26.7375,7.4,14.8875,41.8,11.7375
Ampara,0,2007-12-03,2007,12,49,2007-12-10,27.0,23.5125,30.7125,27.0,43.4,16.7875,47.5,11.7166666666667
Ampara,2,2007-12-10,2007,12,50,2007-12-17,26.35,23.5125,29.7875,26.9375,131.6,17.325,44.6,11.7083333333333
Ampara,0,2007-12-17,2007,12,51,2007-12-24,26.8,23.3,30.8,27.25,81.8,15.0875,47.5,11.7
Ampara,0,2007-12-24,2007,12,52,2007-12-31,27.0375,21.3375,29.8125,24.05,11.5,15.3625,37.8,11.70625
Ampara,0,2007-12-31,2007,12,1,2008-01-07,26.3,22.825,29.575,26.1,64.0,16.2625,43.6,11.7145833333333
Ampara,0,2008-01-07,2008,1,2,2008-01-14,25.925,22.9375,29.9875,26.6125,100.3,13.325,35.3,11.73125
Ampara,0,2008-01-14,2008,1,3,2008-01-21,26.9625,22.1375,29.825,24.8,25.9,16.0875,41.4,11.75
Ampara,0,2008-01-21,2008,1,4,2008-01-28,27.7,22.925,32.4875,26.9125,37.5,13.0875,40.3,11.7791666666667
Ampara,2,2008-01-28,2008,1,5,2008-02-04,28.725,22.9,33.275,26.9,4.1,13.9125,40.3,11.80625
Ampara,3,2008-02-04,2008,2,6,2008-02-11,27.9,23.225,32.8375,27.7125,60.2,12.9375,40.3,11.8479166666667
Ampara,2,2008-02-11,2008,2,7,2008-02-18,27.925,23.2,33.025,27.4875,16.6,13.9375,40.3,11.8875
Ampara,0,2008-02-18,2008,2,8,2008-02-25,27.9375,21.8375,32.2125,24.9125,5.7,14.0375,40.0,11.9291666666667
Ampara,0,2008-02-25,2008,2,9,2008-03-03,27.7,21.95,32.7875,25.375,45.3,12.25,35.6,11.98125
Ampara,1,2008-03-03,2008,3,10,2008-03-10,27.3125,22.9625,32.0125,27.0125,90.7,13.6875,38.9,12.0229166666667
Ampara,1,2008-03-10,2008,3,11,2008-03-17,27.4875,23.25,33.1,27.6125,175.9,11.175,31.3,12.0666666666667
Ampara,0,2008-03-17,2008,3,12,2008-03-24,28.7,23.8375,33.65,27.7375,50.1,15.5125,45.7,12.1166666666667
Ampara,4,2008-03-24,2008,3,13,2008-03-31,29.8125,23.8125,36.725,28.8625,20.5,8.9375,25.9,12.1645833333333
Ampara,1,2008-03-31,2008,3,14,2008-04-07,29.6625,23.8125,36.4875,28.6375,26.1,10.475,32.4,12.2083333333333
Ampara,1,2008-04-07,2008,4,15,2008-04-14,28.7875,23.7625,34.7625,28.4875,66.8,9.9625,32.4,12.25625
Ampara,4,2008-04-14,2008,4,16,2008-04-21,30.625,24.05,37.9,29.05,8.0,10.0125,27.7,12.2958333333333
Ampara,1,2008-04-21,2008,4,17,2008-04-28,30.6625,24.6,37.3875,29.7875,24.4,9.675,25.9,12.3416666666667
Ampara,1,2008-04-28,2008,4,18,2008-05-05,32.125,25.55,38.625,29.75,2.5,15.4125,38.5,12.38125
Ampara,1,2008-05-05,2008,5,19,2008-05-12,32.6375,25.25,39.375,29.9625,4.7,15.05,47.2,12.425
Ampara,1,2008-05-12,2008,5,20,2008-05-19,33.6,25.725,40.225,30.0625,7.9,12.8625,36.7,12.45625
Ampara,0,2008-05-19,2008,5,21,2008-05-26,32.8125,25.875,39.4,30.5375,9.8,13.0875,37.8,12.4854166666667
Ampara,0,2008-05-26,2008,5,22,2008-06-02,32.3875,25.2375,38.8625,29.575,33.3,12.125,37.1,12.5083333333333
Ampara,2,2008-06-02,2008,6,23,2008-06-09,31.425,25.325,37.9125,30.8,55.8,9.3625,49.7,12.5291666666667
Ampara,3,2008-06-09,2008,6,24,2008-06-16,31.825,25.125,37.275,29.7125,9.2,12.25,36.0,12.5416666666667
Ampara,5,2008-06-16,2008,6,25,2008-06-23,32.925,25.3625,38.2875,29.0,16.0,16.0875,45.0,12.54375
Ampara,0,2008-06-23,2008,6,26,2008-06-30,33.1375,25.2625,38.375,28.925,5.7,13.7875,45.0,12.54375
Ampara,2,2008-06-30,2008,6,27,2008-07-07,33.2,25.4625,38.675,29.7125,9.9,15.8,46.8,12.5333333333333
Ampara,2,2008-07-07,2008,7,28,2008-07-14,33.5875,25.25,39.3,29.25,10.9,12.7625,43.2,12.5208333333333
Ampara,0,2008-07-14,2008,7,29,2008-07-21,31.8875,25.075,37.825,29.3,28.6,13.975,43.2,12.5
Ampara,0,2008-07-21,2008,7,30,2008-07-28,32.3625,24.925,37.5125,29.05,12.2,12.1625,56.5,12.4666666666667
Ampara,1,2008-07-28,2008,7,31,2008-08-04,33.0375,25.2625,38.35,29.5,11.9,12.675,56.5,12.4354166666667
Ampara,1,2008-08-04,2008,8,32,2008-08-11,33.8625,25.2875,38.85,28.625,2.4,15.575,48.6,12.40625
Ampara,1,2008-08-11,2008,8,33,2008-08-18,32.525,25.2125,38.35,29.2375,26.4,14.4625,44.6,12.3666666666667
Ampara,0,2008-08-18,2008,8,34,2008-08-25,32.45,24.9625,38.25,29.2375,16.5,14.7125,43.6,12.3208333333333
Ampara,0,2008-08-25,2008,8,35,2008-09-01,30.1375,24.2125,36.4,28.9125,70.6,12.7375,40.7,12.275
Ampara,1,2008-09-01,2008,9,36,2008-09-08,30.525,24.4125,37.4375,29.5125,38.5,9.05,34.2,12.2291666666667
Ampara,0,2008-09-08,2008,9,37,2008-09-15,32.2625,25.0,38.3125,29.2,11.7,11.3125,41.0,12.1833333333333
Ampara,1,2008-09-15,2008,9,38,2008-09-22,33.1875,24.825,38.925,28.8625,0.5,15.9125,42.5,12.1395833333333
Ampara,0,2008-09-22,2008,9,39,2008-09-29,32.9875,25.3,38.9625,29.55,5.6,15.3875,42.5,12.0916666666667
Ampara,0,2008-09-29,2008,9,40,2008-10-06,31.7875,24.975,38.0875,29.9,20.2,13.225,36.7,12.0416666666667
Ampara,0,2008-10-06,2008,10,41,2008-10-13,30.1625,24.3375,35.4625,29.15,33.4,12.5875,38.9,11.9979166666667
Ampara,0,2008-10-13,2008,10,42,2008-10-20,28.725,24.0,34.3625,29.075,71.3,11.3625,32.4,11.95625
Ampara,1,2008-10-20,2008,10,43,2008-10-27,30.025,24.7375,35.825,28.5375,48.3,14.05,50.8,11.9083333333333
Ampara,2,2008-10-27,2008,10,44,2008-11-03,30.075,23.6625,35.1375,27.8875,6.1,11.7125,28.8,11.8708333333333
Ampara,0,2008-11-03,2008,11,45,2008-11-10,29.7125,23.6125,34.675,27.825,14.7,13.6125,38.5,11.83125
Ampara,0,2008-11-10,2008,11,46,2008-11-17,28.6875,23.7,33.275,27.7,42.7,14.375,41.8,11.7979166666667
Ampara,1,2008-11-17,2008,11,47,2008-11-24,27.6875,23.9375,32.8375,28.6625,89.5,11.6125,41.0,11.7645833333333
Ampara,0,2008-11-24,2008,11,48,2008-12-01,28.95,23.9375,33.6875,28.0,55.5,15.4,43.9,11.7375
Ampara,0,2008-12-01,2008,12,49,2008-12-08,27.2125,23.35,31.7625,26.925,52.5,14.6375,38.5,11.7229166666667
Ampara,0,2008-12-08,2008,12,50,2008-12-15,27.525,23.1125,32.25,27.2875,41.7,12.4625,35.6,11.7083333333333
Ampara,0,2008-12-15,2008,12,51,2008-12-22,26.8625,23.25,30.75,26.775,141.5,15.8625,40.7,11.7020833333333
Ampara,0,2008-12-22,2008,12,52,2008-12-29,27.1875,22.7125,30.4375,25.85,11.2,17.2125,41.4,11.7
Ampara,1,2008-12-29,2008,12,1,2009-01-05,27.325,22.225,29.2875,24.6875,2.2,17.825,43.6,11.7083333333333
Ampara,0,2009-01-05,2009,1,2,2009-01-12,26.4875,22.925,29.9125,26.0875,82.5,16.3625,40.3,11.7270833333333
Ampara,3,2009-01-12,2009,1,3,2009-01-19,27.025,22.95,29.0125,25.4,10.4,19.9375,45.7,11.74375
Ampara,11,2009-01-19,2009,1,4,2009-01-26,26.925,22.35,29.25,25.0,84.6,16.55,43.2,11.775
Ampara,14,2009-01-26,2009,1,5,2009-02-02,27.6875,21.2,32.075,24.3125,7.2,14.225,37.8,11.8020833333333
Ampara,9,2009-02-02,2009,2,6,2009-02-09,27.5625,20.6375,30.0,22.85,0.0,15.4375,38.9,11.8416666666667
Ampara,13,2009-02-09,2009,2,7,2009-02-16,28.5125,21.15,31.75,23.775,1.6,15.725,36.0,11.88125
Ampara,2,2009-02-16,2009,2,8,2009-02-23,28.4,22.775,32.25,26.3625,15.2,17.075,43.6,11.9208333333333
Ampara,3,2009-02-23,2009,2,9,2009-03-02,30.475,22.45,36.05,26.5375,4.8,13.0125,35.3,11.9729166666667
Ampara,14,2009-03-02,2009,3,10,2009-03-09,30.525,21.75,34.9,24.975,67.7,14.725,48.6,12.0145833333333
Ampara,2,2009-03-09,2009,3,11,2009-03-16,29.05,23.6625,34.95,28.2375,65.8,12.7875,48.6,12.0583333333333
Ampara,0,2009-03-16,2009,3,12,2009-03-23,29.825,23.975,36.325,29.1,6.5,11.2,33.8,12.1104166666667
Ampara,1,2009-03-23,2009,3,13,2009-03-30,29.725,24.1875,36.4,29.275,20.1,11.325,33.8,12.1583333333333
Ampara,2,2009-03-30,2009,3,14,2009-04-06,29.8,24.25,36.1875,29.4625,20.9,11.6875,37.8,12.2020833333333
Ampara,0,2009-04-06,2009,4,15,2009-04-13,29.525,24.225,35.9875,29.15,66.5,10.775,34.6,12.2479166666667
Ampara,3,2009-04-13,2009,4,16,2009-04-20,32.1,25.05,38.8,30.0,20.6,12.7375,36.4,12.2895833333333
Ampara,9,2009-04-20,2009,4,17,2009-04-27,31.6,25.6125,38.7625,30.6625,6.3,11.7375,31.0,12.3354166666667
Ampara,0,2009-04-27,2009,4,18,2009-05-04,32.6625,25.7375,39.7,30.575,2.1,13.9375,37.4,12.3729166666667
Ampara,2,2009-05-04,2009,5,19,2009-05-11,32.75,26.275,40.0375,31.6125,2.0,11.9375,36.0,12.41875
Ampara,2,2009-05-11,2009,5,20,2009-05-18,33.2,26.275,40.5625,32.0625,20.2,11.5875,33.8,12.45
Ampara,9,2009-05-18,2009,5,21,2009-05-25,32.25,25.85,38.8,30.5875,39.1,12.5375,42.8,12.48125
Ampara,17,2009-05-25,2009,5,22,2009-06-01,33.3375,26.175,39.4625,30.85,4.9,13.8625,46.1,12.50625
Ampara,9,2009-06-01,2009,6,23,2009-06-08,34.45,25.8,40.2625,29.7875,1.1,13.35,41.4,12.525
Ampara,5,2009-06-08,2009,6,24,2009-06-15,34.15,25.6625,40.2375,29.6625,5.6,12.4,37.4,12.5395833333333
Ampara,18,2009-06-15,2009,6,25,2009-06-22,34.0125,25.9125,39.975,29.825,9.2,13.9375,39.2,12.5458333333333
Ampara,28,2009-06-22,2009,6,26,2009-06-29,33.55,25.9875,39.4625,30.0375,18.2,13.4,44.3,12.5416666666667
Ampara,15,2009-06-29,2009,6,27,2009-07-06,33.4625,26.225,38.075,30.3,6.2,11.975,45.0,12.5354166666667
Ampara,12,2009-07-06,2009,7,28,2009-07-13,34.325,25.775,39.625,30.0125,1.4,10.675,38.9,12.5229166666667
Ampara,17,2009-07-13,2009,7,29,2009-07-20,34.9375,25.925,39.05,29.45,6.0,13.3625,43.2,12.50625
Ampara,4,2009-07-20,2009,7,30,2009-07-27,34.925,26.1375,40.05,30.375,3.3,11.6125,39.2,12.4729166666667
Ampara,8,2009-07-27,2009,7,31,2009-08-03,33.875,26.15,39.15,30.1375,5.3,11.9375,40.7,12.4395833333333
Ampara,2,2009-08-03,2009,8,32,2009-08-10,34.825,25.6,40.1875,29.1375,7.8,11.95,46.8,12.4125
Ampara,5,2009-08-10,2009,8,33,2009-08-17,32.95,25.9375,38.75,30.9625,42.6,11.25,36.4,12.375
Ampara,4,2009-08-17,2009,8,34,2009-08-24,30.875,24.9,35.9,28.775,39.3,15.975,54.4,12.3291666666667
Ampara,7,2009-08-24,2009,8,35,2009-08-31,32.9875,25.075,39.55,29.4,11.5,10.55,42.5,12.28125
Ampara,7,2009-08-31,2009,8,36,2009-09-07,33.35,25.7,38.4875,29.0875,22.8,15.15,45.7,12.2375
Ampara,9,2009-09-07,2009,9,37,2009-09-14,33.2375,26.0125,39.45,30.625,5.1,13.625,41.8,12.19375
Ampara,2,2009-09-14,2009,9,38,2009-09-21,32.5875,25.7625,39.3,31.075,23.7,9.8375,36.0,12.1458333333333
Ampara,14,2009-09-21,2009,9,39,2009-09-28,33.125,25.2125,39.6625,29.7625,12.4,11.0875,38.5,12.0979166666667
Ampara,2,2009-09-28,2009,9,40,2009-10-05,33.4125,25.2625,37.6,28.8625,9.3,16.7625,54.0,12.0541666666667
Ampara,3,2009-10-05,2009,10,41,2009-10-12,33.175,24.7,39.025,29.1875,8.6,12.0875,37.8,12.0083333333333
Ampara,12,2009-10-12,2009,10,42,2009-10-19,31.7375,24.525,37.5125,29.375,10.5,12.5,34.9,11.9604166666667
Ampara,6,2009-10-19,2009,10,43,2009-10-26,31.8875,24.725,36.85,29.1375,0.6,14.7625,39.2,11.9145833333333
Ampara,5,2009-10-26,2009,10,44,2009-11-02,29.2375,24.575,33.8,29.1,62.9,14.5875,40.3,11.8770833333333
Ampara,4,2009-11-02,2009,11,45,2009-11-09,27.775,24.425,32.7875,28.5375,130.4,14.1,40.7,11.8375
Ampara,8,2009-11-09,2009,11,46,2009-11-16,28.2875,24.3375,33.7875,29.05,75.7,11.825,37.4,11.8020833333333
Ampara,12,2009-11-16,2009,11,47,2009-11-23,28.4375,23.7625,34.3625,28.5875,57.0,9.8,29.2,11.7708333333333
Ampara,14,2009-11-23,2009,11,48,2009-11-30,28.275,23.5375,33.4,27.725,16.8,12.1375,38.5,11.7458333333333
Ampara,12,2009-11-30,2009,11,49,2009-12-07,27.875,23.75,33.1875,28.1625,90.5,12.425,33.8,11.725
Ampara,18,2009-12-07,2009,12,50,2009-12-14,27.1,23.7875,31.3,27.425,112.8,16.65,50.0,11.7104166666667
Ampara,9,2009-12-14,2009,12,51,2009-12-21,27.75,23.7,32.8625,27.9125,54.1,14.8375,39.6,11.7020833333333
Ampara,1,2009-12-21,2009,12,52,2009-12-28,26.8125,23.55,31.2625,27.7,110.5,13.1375,36.4,11.7
Ampara,37,2009-12-28,2009,12,53,2010-01-04,27.35,23.6,30.375,26.925,16.6,17.3375,43.9,11.7041666666667
Ampara,38,2010-01-04,2010,1,1,2010-01-11,27.9875,23.0,31.5375,25.9,7.1,14.85,41.4,11.7166666666667
Ampara,36,2010-01-11,2010,1,2,2010-01-18,27.7875,23.3375,32.4125,27.3625,39.5,14.0,39.6,11.7416666666667
Ampara,11,2010-01-18,2010,1,3,2010-01-25,27.575,22.7625,30.5875,25.7625,14.3,16.75,41.4,11.7708333333333
Ampara,14,2010-01-25,2010,1,4,2010-02-01,27.2,23.3875,31.025,26.925,76.0,16.75,44.3,11.79375
Ampara,61,2010-02-01,2010,2,5,2010-02-08,27.375,23.6,30.1125,26.525,11.2,19.5875,45.7,11.8354166666667
Ampara,20,2010-02-08,2010,2,6,2010-02-15,28.175,23.8625,31.925,27.325,4.5,15.95,44.3,11.875
