Year,Week,Week Start Date,Week End Date,Avg Max Temp (°C),Avg Min Temp (°C),Avg Apparent Max Temp (°C),Avg Apparent Min Temp (°C),Total Precipitation (mm),Total Rain (mm),Avg Wind Speed (km/h),Max Wind Gusts (km/h),Weather Code,Avg Daylight Duration (hours),Avg Sunrise Time,Avg Sunset Time,District
2007,1,2007-01-01,2007-01-08,26.9375,21.8625,28.85,24.1,8.0,8.0,18.2,44.3,3,11.714583333333334,06:16,17:59,Ampara
2007,1,2007-01-01,2007-01-08,27.875,20.275,29.05,22.2375,0.8,0.8,14.95,38.9,3,11.658333333333337,06:23,18:02,Anuradhapura
2007,1,2007-01-01,2007-01-08,23.637500000000003,16.762500000000003,26.1125,17.6375,1.1,1.1,8.125,36.7,1,11.727083333333333,06:18,18:02,Badulla
2007,1,2007-01-01,2007-01-08,27.25,22.6125,28.725,24.7125,13.3,13.3,20.4,38.2,3,11.689583333333337,06:17,17:58,Batticaloa
2007,1,2007-01-01,2007-01-08,30.1875,21.9375,33.5875,23.475,0.1,0.1,11.55,29.5,3,11.73125,06:22,18:06,Colombo
2007,1,2007-01-01,2007-01-08,29.475,22.6125,35.1,25.85,1.1,1.1,9.8875,27.4,3,11.783333333333331,06:20,18:07,Galle
2007,1,2007-01-01,2007-01-08,30.175,21.5375,32.625,22.9375,0.0,0.0,14.7375,39.6,3,11.729166666666666,06:22,18:06,Gampaha
2007,1,2007-01-01,2007-01-08,28.725000000000005,22.35,31.825,24.0625,0.0,0.0,15.8375,38.5,2,11.772916666666667,06:16,18:03,Hambantota
2007,1,2007-01-01,2007-01-08,27.0875,24.287500000000005,27.0875,24.475,1.9,1.9,24.9125,45.7,3,11.577083333333333,06:26,18:01,Jaffna
2007,1,2007-01-01,2007-01-08,29.1,22.3,32.974999999999994,24.287500000000005,0.1,0.1,11.55,29.5,3,11.75625,06:21,18:07,Kaluthara
2007,1,2007-01-01,2007-01-08,24.85,16.7625,27.2,17.8,0.2,0.2,10.6625,36.0,1,11.716666666666669,06:20,18:03,Kandy
2007,1,2007-01-01,2007-01-08,27.8375,19.0375,29.575,20.0375,0.1,0.1,13.125,41.0,1,11.7125,06:21,18:04,Kegalle
2007,1,2007-01-01,2007-01-08,27.1125,23.275,27.5,24.15,4.8,4.8,21.700000000000003,41.8,3,11.591666666666663,06:25,18:00,Kilinochchi
2007,1,2007-01-01,2007-01-08,28.3375,20.1,30.325,21.4875,0.0,0.0,15.374999999999996,45.0,3,11.704166666666667,06:21,18:04,Kurunegala
2007,1,2007-01-01,2007-01-08,27.8625,23.3125,28.25,24.2875,0.2,0.2,21.762500000000003,41.0,3,11.616666666666667,06:26,18:03,Mannar
2007,1,2007-01-01,2007-01-08,25.625,17.675,27.725,19.2,8.5,8.5,10.825,41.0,3,11.702083333333334,06:20,18:03,Matale
2007,1,2007-01-01,2007-01-08,28.675,22.3125,33.9,25.4625,1.1,1.1,9.8875,27.4,3,11.791666666666666,06:18,18:06,Matara
2007,1,2007-01-01,2007-01-08,27.062500000000004,18.7125,29.1625,19.875,5.5,5.5,15.3875,41.4,2,11.7375,06:16,18:01,Monaragala
2007,1,2007-01-01,2007-01-08,26.7375,23.95,27.725,24.5375,7.199999999999999,7.199999999999999,19.5625,42.1,3,11.602083333333333,06:23,17:59,Mullaitivu
2007,1,2007-01-01,2007-01-08,20.15,12.925,21.3,12.9875,4.5,4.5,6.775,35.6,51,11.735416666666666,06:19,18:03,NuwaraEliya
2007,1,2007-01-01,2007-01-08,27.2125,20.1875,28.975,22.5125,3.2,3.2,12.8125,33.8,3,11.675,06:20,18:00,Polonnaruwa
2007,1,2007-01-01,2007-01-08,29.287499999999994,22.1375,30.9875,23.85,0.7,0.7,17.375,45.7,2,11.66875,06:24,18:05,Puttalam
2007,1,2007-01-01,2007-01-08,28.4,19.7625,33.4625,22.3375,2.1,2.1,6.35,24.5,3,11.745833333333334,06:20,18:05,Ratnapura
2007,1,2007-01-01,2007-01-08,26.85,24.1,27.875,24.950000000000003,7.1,7.1,20.075000000000003,38.2,3,11.641666666666667,06:20,17:59,Trincomalee
2007,1,2007-01-01,2007-01-08,27.425,21.1,28.3875,23.025,1.0,1.0,15.825,40.0,3,11.627083333333331,06:23,18:01,Vavuniya
2007,2,2007-01-08,2007-01-15,26.35,23.325000000000003,30.2625,26.7,86.1,86.1,17.025,43.6,53,11.733333333333333,06:18,18:02,Ampara
2007,2,2007-01-08,2007-01-15,27.525,22.8625,30.0875,26.0125,20.800000000000004,20.800000000000004,17.9,42.1,51,11.677083333333334,06:25,18:06,Anuradhapura
2007,2,2007-01-08,2007-01-15,23.3,19.45,26.0,21.75,27.2,27.2,13.4,42.5,51,11.74375,06:20,18:05,Badulla
2007,2,2007-01-08,2007-01-15,26.7375,23.6875,30.4875,26.6,103.2,103.2,20.512500000000003,36.0,53,11.708333333333334,06:19,18:02,Batticaloa
2007,2,2007-01-08,2007-01-15,29.85,23.8375,34.6375,27.024999999999995,36.400000000000006,36.400000000000006,12.0875,28.1,55,11.747916666666669,06:25,18:10,Colombo
2007,2,2007-01-08,2007-01-15,29.4375,24.1125,34.3125,28.425,14.0,14.0,14.975,46.1,51,11.797916666666666,06:22,18:10,Galle
2007,2,2007-01-08,2007-01-15,29.8375,23.8125,33.3875,26.525,13.0,13.0,15.9625,38.5,3,11.745833333333334,06:25,18:09,Gampaha
2007,2,2007-01-08,2007-01-15,27.9125,23.9375,31.15,27.0125,10.0,10.0,21.775,46.8,2,11.789583333333333,06:19,18:06,Hambantota
2007,2,2007-01-08,2007-01-15,27.1125,24.8625,28.0625,25.5,2.7,2.7,28.7375,45.7,51,11.602083333333333,06:29,18:05,Jaffna
2007,2,2007-01-08,2007-01-15,28.6125,23.65,33.8375,27.125000000000004,36.400000000000006,36.400000000000006,12.0875,28.1,55,11.772916666666667,06:24,18:10,Kaluthara
2007,2,2007-01-08,2007-01-15,24.8625,20.7125,27.825,23.5375,17.099999999999998,17.099999999999998,12.3875,40.7,3,11.733333333333334,06:22,18:06,Kandy
2007,2,2007-01-08,2007-01-15,27.6625,22.125,30.025,24.512500000000003,3.8,3.8,15.425,42.1,51,11.73125,06:24,18:08,Kegalle
2007,2,2007-01-08,2007-01-15,27.1625,24.1,28.75,25.6125,15.4,15.4,25.450000000000003,46.1,51,11.61875,06:27,18:04,Kilinochchi
2007,2,2007-01-08,2007-01-15,28.075,23.0625,30.6,25.912500000000005,2.6,2.6,18.6375,47.9,3,11.722916666666666,06:24,18:07,Kurunegala
2007,2,2007-01-08,2007-01-15,27.962499999999995,24.2375,29.5125,25.9,3.2,3.2,25.475,42.5,3,11.6375,06:28,18:06,Mannar
2007,2,2007-01-08,2007-01-15,25.4875,21.4,28.637500000000003,24.6625,79.50000000000001,79.50000000000001,11.4375,43.9,51,11.71875,06:23,18:06,Matale
2007,2,2007-01-08,2007-01-15,28.7125,23.8625,33.237500000000004,27.8375,14.0,14.0,14.975,46.1,51,11.802083333333332,06:21,18:09,Matara
2007,2,2007-01-08,2007-01-15,26.45,21.85,30.0625,24.9125,68.89999999999999,68.89999999999999,14.4,40.0,61,11.75625,06:19,18:04,Monaragala
2007,2,2007-01-08,2007-01-15,26.8875,24.475,29.35,26.475,33.1,33.1,23.075,46.1,51,11.627083333333337,06:25,18:03,Mullaitivu
2007,2,2007-01-08,2007-01-15,19.325000000000003,14.7125,20.262500000000003,15.2375,50.20000000000001,50.20000000000001,10.275,45.0,61,11.752083333333331,06:21,18:07,NuwaraEliya
2007,2,2007-01-08,2007-01-15,26.8,22.5375,30.3375,26.2125,45.49999999999999,45.49999999999999,15.462500000000002,37.4,53,11.69375,06:22,18:04,Polonnaruwa
2007,2,2007-01-08,2007-01-15,28.85,24.075000000000003,31.35,26.7125,4.6000000000000005,4.6000000000000005,21.0625,49.0,53,11.689583333333337,06:27,18:08,Puttalam
2007,2,2007-01-08,2007-01-15,28.35,22.1875,34.537499999999994,26.275,50.39999999999999,50.39999999999999,4.725,29.2,63,11.764583333333333,06:23,18:09,Ratnapura
2007,2,2007-01-08,2007-01-15,26.65,24.35,29.275,26.5375,63.2,63.2,23.6125,41.8,51,11.660416666666668,06:22,18:02,Trincomalee
2007,2,2007-01-08,2007-01-15,27.437500000000004,22.7875,29.875,25.8375,15.3,15.3,18.525,45.4,51,11.652083333333334,06:25,18:04,Vavuniya
2007,3,2007-01-15,2007-01-22,27.2125,23.1625,29.575000000000003,25.962499999999995,3.1,3.1,20.1875,48.2,51,11.754166666666666,06:20,18:05,Ampara
2007,3,2007-01-15,2007-01-22,28.6375,21.2375,30.5125,24.1,0.5,0.5,16.8875,40.7,3,11.702083333333334,06:27,18:09,Anuradhapura
2007,3,2007-01-15,2007-01-22,24.4625,18.0125,27.125,19.5125,1.0,1.0,12.275,39.6,2,11.76875,06:22,18:08,Badulla
2007,3,2007-01-15,2007-01-22,27.35,23.6,29.6,26.05,4.8,4.8,21.75,41.8,3,11.733333333333333,06:21,18:05,Batticaloa
2007,3,2007-01-15,2007-01-22,31.3625,22.85,35.037499999999994,25.3625,0.3,0.3,12.1,35.3,2,11.772916666666664,06:27,18:13,Colombo
2007,3,2007-01-15,2007-01-22,30.312500000000004,23.775,36.2375,27.9375,4.7,4.7,10.475,31.3,1,11.814583333333331,06:24,18:13,Galle
2007,3,2007-01-15,2007-01-22,31.4375,22.6625,33.787499999999994,24.875000000000004,0.0,0.0,15.9125,45.0,2,11.7625,06:27,18:12,Gampaha
2007,3,2007-01-15,2007-01-22,29.5375,23.475,32.487500000000004,26.1375,0.0,0.0,20.3375,42.8,2,11.812499999999998,06:21,18:09,Hambantota
2007,3,2007-01-15,2007-01-22,27.1625,24.3375,28.65,25.125,0.0,0.0,25.225,39.2,2,11.635416666666668,06:30,18:08,Jaffna
2007,3,2007-01-15,2007-01-22,29.7875,23.1125,34.525000000000006,26.2125,0.3,0.3,12.1,35.3,2,11.789583333333333,06:26,18:13,Kaluthara
2007,3,2007-01-15,2007-01-22,25.625,18.5875,27.9375,20.4,0.0,0.0,13.1875,40.7,2,11.754166666666666,06:24,18:09,Kandy
2007,3,2007-01-15,2007-01-22,29.1125,20.6375,30.625000000000004,22.4,0.0,0.0,15.5,42.5,2,11.758333333333333,06:25,18:11,Kegalle
2007,3,2007-01-15,2007-01-22,27.575,23.55,29.55,25.0125,0.2,0.2,22.0625,41.0,3,11.652083333333334,06:28,18:07,Kilinochchi
2007,3,2007-01-15,2007-01-22,29.275,21.65,31.0375,23.7875,0.1,0.1,18.1,47.2,3,11.74375,06:26,18:10,Kurunegala
2007,3,2007-01-15,2007-01-22,28.8625,23.500000000000004,30.3375,25.08750000000001,0.0,0.0,23.1,40.0,3,11.670833333333334,06:29,18:10,Mannar
2007,3,2007-01-15,2007-01-22,26.3375,19.675,28.725,22.225,11.499999999999998,11.499999999999998,12.9375,39.2,3,11.74375,06:25,18:09,Matale
2007,3,2007-01-15,2007-01-22,29.7875,23.35,35.1,27.35,4.7,4.7,10.475,31.3,1,11.822916666666666,06:23,18:12,Matara
2007,3,2007-01-15,2007-01-22,27.475,20.6,30.0125,22.4875,1.8,1.8,17.224999999999998,43.6,51,11.775,06:21,18:07,Monaragala
2007,3,2007-01-15,2007-01-22,27.0125,24.1,29.6,25.575,1.9,1.9,19.9125,43.2,3,11.658333333333331,06:27,18:06,Mullaitivu
2007,3,2007-01-15,2007-01-22,20.425,13.3625,21.250000000000004,13.275,0.9,0.9,9.7875,41.0,3,11.775,06:23,18:10,NuwaraEliya
2007,3,2007-01-15,2007-01-22,27.85,21.3,30.425,24.637500000000003,2.0,2.0,14.9125,38.9,3,11.722916666666666,06:24,18:07,Polonnaruwa
2007,3,2007-01-15,2007-01-22,30.149999999999995,22.8875,31.7,25.1125,0.1,0.1,19.875000000000004,48.6,3,11.714583333333334,06:29,18:11,Puttalam
2007,3,2007-01-15,2007-01-22,29.4875,20.7125,35.050000000000004,23.8875,2.2,2.2,7.262499999999999,21.6,51,11.785416666666666,06:25,18:12,Ratnapura
2007,3,2007-01-15,2007-01-22,26.925,24.3125,29.075,25.95,2.6,2.6,21.0375,42.1,3,11.687500000000002,06:24,18:05,Trincomalee
2007,3,2007-01-15,2007-01-22,28.475,21.5625,30.475,24.275,0.3,0.3,17.1125,41.8,3,11.679166666666667,06:27,18:08,Vavuniya
2007,4,2007-01-22,2007-01-29,26.725,23.0375,29.950000000000003,26.1125,53.6,53.6,17.2,42.5,61,11.783333333333331,06:21,18:08,Ampara
2007,4,2007-01-22,2007-01-29,28.2375,21.725,30.349999999999994,24.512500000000003,26.5,26.5,17.95,43.9,51,11.735416666666666,06:28,18:12,Anuradhapura
2007,4,2007-01-22,2007-01-29,23.7625,18.4875,26.450000000000003,20.062500000000004,31.4,31.4,12.3,43.6,1,11.795833333333333,06:23,18:11,Badulla
2007,4,2007-01-22,2007-01-29,26.95,23.200000000000003,30.0,25.862500000000004,78.8,78.8,20.3125,38.5,3,11.76875,06:22,18:08,Batticaloa
2007,4,2007-01-22,2007-01-29,31.1375,22.9125,35.550000000000004,25.675000000000004,25.6,25.6,10.1625,30.6,1,11.802083333333332,06:28,18:16,Colombo
2007,4,2007-01-22,2007-01-29,30.1375,23.45,34.825,27.0875,15.4,15.4,15.3125,54.4,1,11.839583333333332,06:25,18:16,Galle
2007,4,2007-01-22,2007-01-29,31.262500000000003,22.725,34.6875,25.2375,28.0,28.0,12.3375,39.2,1,11.795833333333333,06:28,18:15,Gampaha
2007,4,2007-01-22,2007-01-29,28.4625,23.175,31.475,25.9875,19.8,19.8,20.4,50.8,1,11.8375,06:22,18:12,Hambantota
2007,4,2007-01-22,2007-01-29,27.137500000000003,24.4375,28.5875,25.450000000000003,28.5,28.5,27.6625,43.2,2,11.679166666666667,06:31,18:11,Jaffna
2007,4,2007-01-22,2007-01-29,29.35,23.075,34.7625,26.35,25.6,25.6,10.1625,30.6,1,11.818749999999998,06:27,18:16,Kaluthara
2007,4,2007-01-22,2007-01-29,25.35,18.525,27.975,20.3,24.8,24.8,12.2,43.2,1,11.78125,06:25,18:12,Kandy
2007,4,2007-01-22,2007-01-29,28.825,20.65,30.8625,22.65,19.3,19.3,13.975,38.2,1,11.783333333333331,06:27,18:14,Kegalle
2007,4,2007-01-22,2007-01-29,27.475,23.8125,29.3875,25.3,36.1,36.1,24.025,45.4,2,11.681250000000002,06:29,18:10,Kilinochchi
2007,4,2007-01-22,2007-01-29,28.925,21.7375,30.975,24.0375,16.1,16.1,18.3625,50.0,1,11.775,06:27,18:13,Kurunegala
2007,4,2007-01-22,2007-01-29,28.762500000000003,23.75,30.575000000000003,25.512500000000003,20.7,20.7,23.2,37.4,1,11.702083333333334,06:30,18:13,Mannar
2007,4,2007-01-22,2007-01-29,25.9875,19.5,28.625,21.8875,38.8,38.8,13.3125,49.7,51,11.775,06:26,18:12,Matale
2007,4,2007-01-22,2007-01-29,29.35,23.287500000000005,33.5125,26.8,15.4,15.4,15.3125,54.4,1,11.845833333333331,06:24,18:14,Matara
2007,4,2007-01-22,2007-01-29,26.750000000000004,20.450000000000003,30.3125,22.6125,57.3,57.3,13.925,39.6,2,11.808333333333332,06:22,18:10,Monaragala
2007,4,2007-01-22,2007-01-29,27.025,24.1875,29.700000000000003,25.825000000000003,45.6,45.6,21.825,44.3,2,11.689583333333337,06:28,18:09,Mullaitivu
