Week_Start_Date,Week_End_Date,Avg Max Temp (°C),Avg Min Temp (°C),Avg Apparent Max Temp (°C),Avg Apparent Min Temp (°C),Total Precipitation (mm),Avg Wind Speed (km/h),Avg Daylight Duration (hours),Avg Sunrise Time,Avg Sunset Time
2024-04-29,2024-05-06,35.7375,25.8625,42.55,31.8125,7.9,16.05,12.3875,348,1091
2024-05-06,2024-05-13,34.65,25.5875,41.7375,31.4375,55.8,12.7875,12.4270833333333,346,1092
2024-05-13,2024-05-20,31.9125,24.5625,38.55,30.1125,153,10.5375,12.4625,345,1093
2024-05-20,2024-05-27,32.9875,25.3875,39.2875,29.6625,29.2,15.3875,12.4895833333333,345,1094
2024-05-27,2024-06-03,34.6625,25.375,41.7375,30.075,40.9,14.5125,12.5125,345,1095
2024-06-03,2024-06-10,34.0375,25.45,39.1375,29.2875,12.7,17.175,12.53125,345,1097
2024-06-10,2024-06-17,35.4875,25.1375,41.4625,29.575,5.8,12.2,12.54375,346,1099
2024-06-17,2024-06-24,35.6875,25.4625,41.125,29.7625,15.7,14.9125,12.5458333333333,348,1100
2024-06-24,2024-07-01,35.9875,25.2875,40.9625,29.825,7,16.075,12.5416666666667,349,1102
2024-07-01,2024-07-08,35.125,25.325,41.1,29.9375,22.7,12.4375,12.5291666666667,351,1103
2024-07-08,2024-07-15,35.0625,25,40.2375,29.8375,11.5,13.5375,12.51875,352,1104
2024-07-15,2024-07-22,35.7875,25.1875,38.55,29.2625,1.3,22.375,12.49375,354,1104
2024-07-22,2024-07-29,37.58,25.53,40.48,29.6,11.9,21.32,12.46,355,1103
2024-07-29,2024-08-05,36.36,25.57,41.2,30.27,47.2,14.67,12.43,356,1102
2024-08-05,2024-08-12,33.64,24.39,40.41,29.76,58.6,11.9,12.4,356,1100
2024-08-12,2024-08-19,32.93,24.52,38.58,29.2,57.2,14.38,12.36,356,1097
2024-08-19,2024-08-26,33.33,24.67,38.55,28.36,24,15.42,12.31,356,1094
2024-08-26,2024-09-02,35.12,24.24,40.54,28.42,33.1,10.94,12.27,355,1091
2024-09-02,2024-09-09,36.06,24.55,40.67,29.24,10.4,13.82,12.23,354,1088
2024-09-09,2024-09-16,36.89,25,42.59,29.8,26.6,12.96,12.18,353,1084
2024-09-16,2024-09-23,37.82,23.85,40.71,28.55,5.2,16.84,12.13,352,1080
2024-09-23,2024-09-30,35.4,24.42,40.29,29.25,32.4,16.4,12.08,351,1076
