Week_Start_Date,Week_End_Date,Avg Max Temp (°C),Avg Min Temp (°C),Avg Apparent Max Temp (°C),Avg Apparent Min Temp (°C),Total Precipitation (mm),Avg Wind Speed (km/h),Avg Daylight Duration (hours),Avg Sunrise Time,Avg Sunset Time
2024-04-29,2024-05-06,36.425,26.025,42.8,31.35,14.3,16.3875,12.43125,351,1097
2024-05-06,2024-05-13,34.4375,25.225,41.4375,30.3375,90.5,13.3,12.4729166666667,350,1098
2024-05-13,2024-05-20,31.225,24.6,37.6625,29.6375,151.7,15.5,12.5083333333333,349,1099
2024-05-20,2024-05-27,29.925,24.9,33.325,28,69.3,28.75,12.5479166666667,348,1101
2024-05-27,2024-06-03,31.375,25.3,35.925,28.7125,16.4,24.7875,12.575,348,1102
2024-06-03,2024-06-10,30.9625,24.95,35.1625,28.2375,8.8,22.775,12.5895833333333,348,1104
2024-06-10,2024-06-17,31.8375,25.2875,35.7375,28.6375,3.2,24.45,12.6041666666667,350,1106
2024-06-17,2024-06-24,31.225,25.1625,34.425,28.1375,17,27.45,12.6041666666667,351,1107
2024-06-24,2024-07-01,31.125,25.2625,34.1,28.325,7.7,26.5625,12.6041666666667,352,1109
2024-07-01,2024-07-08,31.9125,25.2,35.4375,28.375,9.5,23.3125,12.5895833333333,354,1110
2024-07-08,2024-07-15,31.6875,25.2875,35.0625,28.5375,12.3,24.95,12.5770833333333,356,1110
2024-07-15,2024-07-22,31.8625,25.8,34.35,28.725,7.4,28.2,12.5458333333333,357,1110
2024-07-22,2024-07-29,33.54,25.71,36.24,28.99,2.6,27.24,12.51,358,1109
2024-07-29,2024-08-05,33.25,25.14,36.46,28.58,13.7,24.7,12.47,359,1108
2024-08-05,2024-08-12,33.69,24.89,38.81,28.65,43.9,17.25,12.44,360,1106
2024-08-12,2024-08-19,31.63,24.4,36.54,28.15,50.4,18.95,12.4,360,1103
2024-08-19,2024-08-26,30.96,24.45,34.49,27.48,25,22.93,12.34,360,1100
2024-08-26,2024-09-02,31.49,24.85,34.79,27.55,11.9,25.2,12.29,359,1097
2024-09-02,2024-09-09,31.94,25.12,34.97,27.99,10.4,25.9,12.24,359,1093
2024-09-09,2024-09-16,33,24.94,36.1,27.93,9.3,25.65,12.19,358,1089
2024-09-16,2024-09-23,33.75,25.01,36.54,27.84,1.9,25.53,12.13,357,1085
2024-09-23,2024-09-30,33.86,24.99,37.92,28.82,25.7,21.48,12.08,356,1081
