Week_Start_Date,Week_End_Date,Avg Max Temp (°C),Avg Min Temp (°C),Avg Apparent Max Temp (°C),Avg Apparent Min Temp (°C),Total Precipitation (mm),Avg Wind Speed (km/h),Avg Daylight Duration (hours),Avg Sunrise Time,Avg Sunset Time
2024-04-29,2024-05-06,31.875,20.95,37.7625,23.85,14.1,9.25,12.3833333333333,351,1094
2024-05-06,2024-05-13,30.8125,21.625,36.175,25.05,50.8,9.45,12.4145833333333,349,1094
2024-05-13,2024-05-20,27.9875,21.625,33.9,25.4375,119.2,8,12.45,348,1095
2024-05-20,2024-05-27,29.525,22.95,34.9625,26.8,47.5,10.2,12.475,348,1096
2024-05-27,2024-06-03,29.7,22.4125,35.825,26.2,48.8,8.9125,12.5,348,1098
2024-06-03,2024-06-10,29.1875,21.4125,35.4125,24.325,12.5,8.35,12.5125,348,1099
2024-06-10,2024-06-17,30.25,21,35.95,23.8,9.8,7.7125,12.525,349,1101
2024-06-17,2024-06-24,30.325,21.9625,35.075,25.2125,11.1,7.825,12.525,351,1102
2024-06-24,2024-07-01,30.1625,21.6125,34.6,24.35,20.8,8.5125,12.5270833333333,352,1104
2024-07-01,2024-07-08,29.675,21.125,34.7875,24.0125,45.4,8.075,12.5145833333333,354,1105
2024-07-08,2024-07-15,29.75,21.175,34.55,23.75,42.1,8.1,12.5,356,1106
2024-07-15,2024-07-22,29.8125,21.9625,33.9,24.075,6.2,9.6125,12.4770833333333,357,1106
2024-07-22,2024-07-29,32.05,22.21,35.45,24.48,12.8,13.36,12.45,358,1105
2024-07-29,2024-08-05,31.69,22.29,36.01,25.26,44.4,8.68,12.42,359,1104
2024-08-05,2024-08-12,29.89,20.24,34.76,23.08,78.5,8.65,12.39,359,1102
2024-08-12,2024-08-19,28.13,21.19,34.09,24.54,77.3,7.1,12.35,359,1100
2024-08-19,2024-08-26,28.57,20.71,34.26,23.09,29.1,8.38,12.3,359,1097
2024-08-26,2024-09-02,30.07,20.87,35.12,23.4,51.9,9.34,12.26,358,1094
2024-09-02,2024-09-09,30.3,21.64,35.49,24.5,45.8,8.29,12.22,357,1090
2024-09-09,2024-09-16,31.46,21.56,36.96,24.09,51.7,7.69,12.17,356,1086
2024-09-16,2024-09-23,32.16,20.14,35.72,21.85,10.4,12.89,12.13,355,1082
2024-09-23,2024-09-30,30.92,20.89,35.05,23.7,52.3,11.55,12.09,353,1079
