Week_Start_Date,Week_End_Date,Avg Max Temp (°C),Avg Min Temp (°C),Avg Apparent Max Temp (°C),Avg Apparent Min Temp (°C),Total Precipitation (mm),Avg Wind Speed (km/h),Avg Daylight Duration (hours),Avg Sunrise Time,Avg Sunset Time
2024-04-29,2024-05-06,34.7875,26.825,41.35,33.25,6.2,22.925,12.40625,347,1092
2024-05-06,2024-05-13,33.475,26.4125,40.2,32.5125,57.6,17.325,12.4479166666667,345,1092
2024-05-13,2024-05-20,30.8875,25.1875,38.2625,30.625,145.4,12.1625,12.4770833333333,345,1093
2024-05-20,2024-05-27,33.2625,25.675,39.35,31.375,8.6,17.5375,12.5145833333333,344,1095
2024-05-27,2024-06-03,33.35,26.0125,41.175,31.7125,22.4,13.5375,12.5375,344,1096
2024-06-03,2024-06-10,32.5375,25.575,39.9,30.925,16,12.4875,12.5520833333333,345,1098
2024-06-10,2024-06-17,33.7625,25.7125,40.6875,31.7,10.1,13.3375,12.5666666666667,346,1100
2024-06-17,2024-06-24,34.45,26.1,40.25,31.95,19.4,16.65,12.56875,347,1101
2024-06-24,2024-07-01,34.8375,26.3125,39.625,31.2375,4.9,18.7625,12.5666666666667,349,1103
2024-07-01,2024-07-08,32.2875,25.8125,39.4875,31.5625,30.1,14.6875,12.55625,350,1104
2024-07-08,2024-07-15,33.9,25.775,39.275,31.325,11.8,17.8625,12.54375,352,1105
2024-07-15,2024-07-22,35.7125,25.7125,37.9625,30.4,2.2,26.2875,12.5166666666667,353,1104
2024-07-22,2024-07-29,37.02,26.49,40.25,31.06,4.2,21.73,12.48,354,1103
2024-07-29,2024-08-05,34.85,26.28,39.94,31.66,14.6,17.02,12.45,355,1102
2024-08-05,2024-08-12,32.06,25.26,38.96,31.01,54.7,15.95,12.41,356,1100
2024-08-12,2024-08-19,31.21,25.46,38.11,30.98,50.7,13.78,12.37,356,1098
2024-08-19,2024-08-26,32.04,25.02,38.99,29.74,24,14.22,12.32,356,1095
2024-08-26,2024-09-02,33.69,24.99,39.84,30.3,16.6,15.3,12.28,355,1092
2024-09-02,2024-09-09,34.36,25.47,40.72,30.91,13.5,14.89,12.23,354,1088
2024-09-09,2024-09-16,35.12,25.78,41.49,31.61,8.8,15.56,12.18,353,1084
2024-09-16,2024-09-23,36.45,25.15,40.89,29.86,10.3,18.8,12.13,352,1080
2024-09-23,2024-09-30,33,25.11,38.61,30.27,26.6,18.68,12.08,351,1076
