Week_Start_Date,Week_End_Date,Avg Max Temp (°C),Avg Min Temp (°C),Avg Apparent Max Temp (°C),Avg Apparent Min Temp (°C),Total Precipitation (mm),Avg Wind Speed (km/h),Avg Daylight Duration (hours),Avg Sunrise Time,Avg Sunset Time
2024-04-29,2024-05-06,32.125,25.925,39.15,31.4625,30.7,16.85,12.375,355,1098
2024-05-06,2024-05-13,31.6375,25.425,38.8125,30.4375,118.1,15.3625,12.4145833333333,353,1098
2024-05-13,2024-05-20,29.525,24.875,35.9375,29.7125,206.2,16.025,12.44375,353,1099
2024-05-20,2024-05-27,28.9375,25.825,32.85,28.55,279.7,28.975,12.4645833333333,353,1100
2024-05-27,2024-06-03,29.2125,25.125,34.35,29.425,226.3,21.5125,12.4895833333333,353,1102
2024-06-03,2024-06-10,29.45,25.1125,34.65,29.2,51.1,21.5875,12.5104166666667,353,1104
2024-06-10,2024-06-17,29.65,25.3375,34.9125,29.4875,52,21.8375,12.5208333333333,354,1105
2024-06-17,2024-06-24,29.2375,25.15,34.0125,28.5,107.5,23.2125,12.525,355,1107
2024-06-24,2024-07-01,28.825,25.025,34.375,29.2,106,18.975,12.51875,357,1108
2024-07-01,2024-07-08,28.675,25.025,33.9625,29.4625,84.4,16.5125,12.5104166666667,359,1109
2024-07-08,2024-07-15,28.8375,25.3125,33.9125,29.45,94,20.4,12.4895833333333,360,1110
2024-07-15,2024-07-22,28.95,25.6125,34.5125,29.9875,78.7,18.75,12.4666666666667,362,1110
2024-07-22,2024-07-29,29.35,25.46,34.85,30.15,80.5,20.29,12.45,363,1109
2024-07-29,2024-08-05,28.9,24.81,33.99,29.2,99.1,20.12,12.41,363,1108
2024-08-05,2024-08-12,28.83,25.19,34.31,29.8,84.9,18.16,12.38,364,1106
2024-08-12,2024-08-19,28.43,24.64,33.54,28.94,166.7,17.79,12.34,364,1104
2024-08-19,2024-08-26,28.6,24.84,33.57,28.95,60.1,19.9,12.3,363,1101
2024-08-26,2024-09-02,28.7,25.06,33.76,28.8,118.8,19.94,12.26,362,1098
2024-09-02,2024-09-09,28.98,25.36,33.74,29.15,120,22.78,12.22,361,1094
2024-09-09,2024-09-16,28.9,24.62,34.02,28.84,90.5,19.96,12.17,360,1091
2024-09-16,2024-09-23,29.41,25.19,34.26,29.4,45.2,22.24,12.13,359,1087
2024-09-23,2024-09-30,29.51,24.64,36.29,29.02,65.5,16.39,12.09,358,1083
