Week_Start_Date,Week_End_Date,Avg Max Temp (°C),Avg Min Temp (°C),Avg Apparent Max Temp (°C),Avg Apparent Min Temp (°C),Total Precipitation (mm),Avg Wind Speed (km/h),Avg Daylight Duration (hours),Avg Sunrise Time,Avg Sunset Time
2024-04-29,2024-05-06,31.2875,25.6375,39.075,31.175,40.6,14.575,12.3458333333333,355,1096
2024-05-06,2024-05-13,30.575,25.175,37.9,30.4125,79.1,12.9,12.3770833333333,353,1096
2024-05-13,2024-05-20,29.1875,24.9875,35.3375,29.8375,167.9,14.9625,12.4020833333333,353,1097
2024-05-20,2024-05-27,29.125,25.4125,33.0375,28.3125,311,28.4,12.4229166666667,353,1098
2024-05-27,2024-06-03,29.125,25.05,33.9875,29.2125,248.2,22.775,12.44375,353,1099
2024-06-03,2024-06-10,29.3375,25.2375,34.7,29.775,56.5,18.95,12.4625,353,1101
2024-06-10,2024-06-17,29.625,25.7375,34.4125,29.8,43,22.3625,12.4729166666667,354,1103
2024-06-17,2024-06-24,29.4,24.9375,34.2875,28.425,121.9,22.9,12.4729166666667,356,1104
2024-06-24,2024-07-01,29.025,24.9875,34.2,29.25,75.3,19.2625,12.4729166666667,357,1105
2024-07-01,2024-07-08,29.0625,24.85,34.5375,29.2625,73.2,18.5,12.4625,359,1107
2024-07-08,2024-07-15,29.175,25.3125,33.95,29.4,48.9,22.5375,12.4541666666667,360,1107
2024-07-15,2024-07-22,29.1875,25.5375,34.3375,29.7625,32.7,20.675,12.4354166666667,361,1108
2024-07-22,2024-07-29,29.62,25.5,35.15,30.02,88.2,21.34,12.4,362,1107
2024-07-29,2024-08-05,29,24.75,34.38,28.86,94.2,20.88,12.38,363,1106
2024-08-05,2024-08-12,29.18,25.22,34.07,29.23,50.7,19.91,12.34,364,1104
2024-08-12,2024-08-19,28.12,24.61,33.12,28.86,165.2,18.58,12.31,363,1102
2024-08-19,2024-08-26,28.64,24.82,33.92,28.96,106,18.94,12.28,362,1099
2024-08-26,2024-09-02,29.03,24.85,33.64,28.99,136.2,20.02,12.24,361,1096
2024-09-02,2024-09-09,29.03,25.29,33.64,29.01,103.7,23.64,12.2,360,1093
2024-09-09,2024-09-16,29.11,24.54,34.21,28.45,77.5,21.3,12.16,359,1089
2024-09-16,2024-09-23,28.82,24.62,33.38,28.53,65,22.51,12.13,358,1086
2024-09-23,2024-09-30,29.53,24.33,35.42,28.41,63.7,19.32,12.09,357,1082
