Week_Start_Date,Week_End_Date,Avg Max Temp (°C),Avg Min Temp (°C),Avg Apparent Max Temp (°C),Avg Apparent Min Temp (°C),Total Precipitation (mm),Avg Wind Speed (km/h),Avg Daylight Duration (hours),Avg Sunrise Time,Avg Sunset Time
2024-04-29,2024-05-06,32.65,25.2375,40.2125,30.85,35.2,13.8,12.38125,355,1098
2024-05-06,2024-05-13,32.55,24.7875,40.1125,30.075,99.7,13.25,12.41875,353,1098
2024-05-13,2024-05-20,29.9625,24.3,36.475,29.6,200.4,12.35,12.45,352,1099
2024-05-20,2024-05-27,28.9875,24.975,33.725,28.8125,285.2,23.0375,12.48125,352,1100
2024-05-27,2024-06-03,29.45,24.175,34.9125,28.7125,183.7,17.2875,12.50625,352,1102
2024-06-03,2024-06-10,30.0875,24.3375,35.2625,28.7125,55.7,19.175,12.51875,352,1104
2024-06-10,2024-06-17,30.1,24.6625,35.5375,29.3,53.9,19.4125,12.5270833333333,354,1105
2024-06-17,2024-06-24,29.65,24.45,34.5125,28.8375,130.8,19.15,12.53125,355,1107
2024-06-24,2024-07-01,29.2875,24.175,34.7875,28.7375,92.1,16.0875,12.5270833333333,357,1108
2024-07-01,2024-07-08,29.2875,24.0125,34.9,28.6125,102.1,15.1625,12.51875,358,1109
2024-07-08,2024-07-15,29.3375,24.2,34.5375,28.8375,90.1,17.775,12.4979166666667,360,1110
2024-07-15,2024-07-22,29.325,24.525,34.7875,29.4,67.2,16.8,12.475,361,1110
2024-07-22,2024-07-29,29.81,24.6,35.21,29.51,72.4,18.99,12.46,362,1109
2024-07-29,2024-08-05,29.35,23.95,34.5,28.52,103.5,18.39,12.43,363,1108
2024-08-05,2024-08-12,29.41,24.12,34.96,29.08,79.2,15.79,12.39,363,1106
2024-08-12,2024-08-19,28.89,23.84,34.15,28.25,109.3,16.04,12.35,363,1104
2024-08-19,2024-08-26,29.09,23.74,34,27.89,48.4,18.44,12.31,363,1101
2024-08-26,2024-09-02,29.09,23.92,33.91,28.23,124.2,18,12.27,362,1098
2024-09-02,2024-09-09,29.51,24.09,34.58,28.61,121.3,19.84,12.22,361,1094
2024-09-09,2024-09-16,29.56,23.87,34.84,28.41,73.3,18.64,12.18,360,1091
2024-09-16,2024-09-23,29.88,24.01,34.91,28.38,37.5,20.36,12.13,359,1087
2024-09-23,2024-09-30,30.5,23.86,37.05,28.26,61.6,15.46,12.08,358,1083
