Week_Start_Date,Week_End_Date,Avg Max Temp (°C),Avg Min Temp (°C),Avg Apparent Max Temp (°C),Avg Apparent Min Temp (°C),Total Precipitation (mm),Avg Wind Speed (km/h),Avg Daylight Duration (hours),Avg Sunrise Time,Avg Sunset Time
2024-04-29,2024-05-06,31.9625,26.65,38.7,31.9625,16.7,20.1125,12.34375,351,1092
2024-05-06,2024-05-13,31.7125,26.1125,38,31.225,55.9,18.3375,12.38125,350,1093
2024-05-13,2024-05-20,30.1375,25.3125,35.3375,29.875,103.6,20.275,12.4083333333333,349,1093
2024-05-20,2024-05-27,29.6125,25.7125,32.5375,27.9375,68.1,34.0875,12.43125,349,1094
2024-05-27,2024-06-03,30.4,26.025,34.1375,28.7625,30.2,28.9125,12.45625,349,1096
2024-06-03,2024-06-10,29.7375,25.725,33.75,29.375,23.3,25.9625,12.4666666666667,349,1097
2024-06-10,2024-06-17,30.575,26.2125,34.0375,29.2,7.6,28.2625,12.475,351,1099
2024-06-17,2024-06-24,30.6625,25.6375,33.7875,28.325,14.8,29.175,12.4791666666667,352,1101
2024-06-24,2024-07-01,30.6625,25.825,34.0375,28.7625,7.1,27.1125,12.475,354,1102
2024-07-01,2024-07-08,31.0625,25.725,34.75,28.8375,9.6,26.475,12.46875,355,1103
2024-07-08,2024-07-15,31.8875,26.1875,34.875,28.8375,2.5,27.85,12.45,357,1104
2024-07-15,2024-07-22,31.6875,26.1625,34.725,29.1875,8.2,27.0375,12.4270833333333,358,1104
2024-07-22,2024-07-29,31.72,26.19,34.79,29.4,17.3,29.19,12.41,359,1103
2024-07-29,2024-08-05,31.55,25.6,34.61,28.08,18.7,28.41,12.38,360,1102
2024-08-05,2024-08-12,32.6,25.95,35.74,28.79,13.8,26.98,12.35,360,1101
2024-08-12,2024-08-19,30.13,25.23,34.19,28.55,51.1,24.94,12.31,360,1098
2024-08-19,2024-08-26,29.88,25.24,33.64,28.61,46.7,25.06,12.28,359,1096
2024-08-26,2024-09-02,31.2,25.36,34.24,27.89,29,28.29,12.24,358,1093
2024-09-02,2024-09-09,31.26,25.69,33.99,28.14,19.4,30.1,12.2,357,1089
2024-09-09,2024-09-16,31.6,25.56,34.62,28.09,4.8,29.94,12.17,356,1086
2024-09-16,2024-09-23,31.55,25.41,34.09,27.61,8.6,33.14,12.13,354,1082
2024-09-23,2024-09-30,31.73,25.27,35.41,28.39,43,25.61,12.09,353,1078
