Week_Start_Date,Week_End_Date,Avg Max Temp (°C),Avg Min Temp (°C),Avg Apparent Max Temp (°C),Avg Apparent Min Temp (°C),Total Precipitation (mm),Avg Wind Speed (km/h),Avg Daylight Duration (hours),Avg Sunrise Time,Avg Sunset Time
2024-04-29,2024-05-06,34.6625,29.2625,40.6,33.85,9.5,24.7875,12.4833333333333,351,1100
2024-05-06,2024-05-13,33.4875,28.275,39.9625,33.175,46.6,17.575,12.5333333333333,349,1101
2024-05-13,2024-05-20,30.25,26.3,36.525,31.6375,173,16.45,12.5770833333333,348,1103
2024-05-20,2024-05-27,30.675,27.45,34.55,30.9,74.6,32.4875,12.6125,348,1104
2024-05-27,2024-06-03,31.3625,28.2,36.9875,31.9625,23.5,29.9,12.6416666666667,348,1106
2024-06-03,2024-06-10,30.175,27.325,33.6125,29.925,28.3,33.275,12.66875,348,1108
2024-06-10,2024-06-17,30.55,28.0375,34.9,30.475,3.5,32.1875,12.68125,349,1110
2024-06-17,2024-06-24,30.4375,27.7625,34.2125,30.0625,7.6,33.7625,12.6854166666667,350,1111
2024-06-24,2024-07-01,30.225,27.45,33.6125,29.7625,13.3,32.3625,12.6833333333333,352,1113
2024-07-01,2024-07-08,30.7625,27.3375,35.5,30.3,31,29.05,12.66875,353,1114
2024-07-08,2024-07-15,30.8375,27.875,35.1375,30.8,26.6,29.2375,12.6416666666667,355,1114
2024-07-15,2024-07-22,31.05,28.025,34.0375,30.425,9,32.575,12.6145833333333,357,1114
2024-07-22,2024-07-29,31.64,28.01,35.24,30.83,2.5,32.02,12.58,358,1113
2024-07-29,2024-08-05,31.28,27.29,35.78,30.24,22.8,28.36,12.54,359,1111
2024-08-05,2024-08-12,31.73,26.48,37.8,30.62,60.1,19.99,12.49,360,1109
2024-08-12,2024-08-19,30.79,26.54,35.98,30.36,40.8,24.74,12.43,361,1106
2024-08-19,2024-08-26,29.91,26.91,33.19,28.98,26.3,30.9,12.38,361,1103
2024-08-26,2024-09-02,30.26,27.19,34.02,29.75,15.8,30.88,12.32,360,1099
2024-09-02,2024-09-09,31.05,27.56,35.75,30.32,10.3,30.31,12.26,360,1095
2024-09-09,2024-09-16,31.24,27.61,35.47,30.35,4.2,31.88,12.2,359,1091
2024-09-16,2024-09-23,32.91,27.76,37.3,30.16,6.3,30.05,12.14,358,1087
2024-09-23,2024-09-30,32.3,27,37.34,30.75,13.6,24.42,12.08,358,1082
