Week_Start_Date,Week_End_Date,Avg Max Temp (°C),Avg Min Temp (°C),Avg Apparent Max Temp (°C),Avg Apparent Min Temp (°C),Total Precipitation (mm),Avg Wind Speed (km/h),Avg Daylight Duration (hours),Avg Sunrise Time,Avg Sunset Time
2024-04-29,2024-05-06,31.775,25.5625,39.3875,31.3125,35.3,13.875,12.3583333333333,355,1097
2024-05-06,2024-05-13,31.175,24.8125,38.55,29.7875,64,13.4125,12.4,353,1097
2024-05-13,2024-05-20,29.6,24.9875,35.8875,30.1375,183.7,14.975,12.4270833333333,353,1098
2024-05-20,2024-05-27,29.2875,25.7375,33.0375,29.0125,301.8,26.8,12.4479166666667,353,1099
2024-05-27,2024-06-03,29.1375,24.85,33.85,29.4375,251.1,19.0125,12.4729166666667,353,1101
2024-06-03,2024-06-10,29.5875,24.825,34.8,29.3625,56.1,19.6,12.4916666666667,353,1103
2024-06-10,2024-06-17,29.825,25.3875,35.125,30.025,50.2,20.0375,12.5020833333333,354,1104
2024-06-17,2024-06-24,29.4625,25.0375,34.2125,28.625,126.7,21.9625,12.5041666666667,356,1106
2024-06-24,2024-07-01,28.95,24.9,34.425,29.2625,72.2,17.2125,12.5020833333333,357,1107
2024-07-01,2024-07-08,28.9875,24.5875,34.3625,29.3875,85.6,15.1125,12.4916666666667,359,1108
2024-07-08,2024-07-15,29.1,25.1125,34.1,29.3625,73.2,19.1375,12.4729166666667,360,1109
2024-07-15,2024-07-22,29.15,25.2875,34.8375,29.9375,61.4,17.5625,12.45,362,1109
2024-07-22,2024-07-29,30.15,24.44,35.84,29.51,101.9,19.09,12.43,361,1107
2024-07-29,2024-08-05,29.01,23.93,34.69,28.94,126,16.68,12.4,362,1106
2024-08-05,2024-08-12,29.48,24.11,35.39,29.31,134.9,15.47,12.37,362,1104
2024-08-12,2024-08-19,28.71,24.11,34.69,29.59,200.6,12.88,12.34,362,1102
2024-08-19,2024-08-26,29.34,23.65,35.11,28.71,75.9,15.14,12.29,361,1099
2024-08-26,2024-09-02,29.05,23.79,34.41,28.9,98.5,17.04,12.25,360,1096
2024-09-02,2024-09-09,28.86,23.64,34.06,28.5,114.3,17.68,12.21,359,1092
2024-09-09,2024-09-16,29.23,23.98,34.88,29.2,69.8,16.55,12.17,358,1089
2024-09-16,2024-09-23,29.23,23.77,34.56,28.45,64.7,18.05,12.13,357,1085
2024-09-23,2024-09-30,29.6,23.4,35.91,28.09,91.3,14.4,12.09,356,1081
