Week_Start_Date,Week_End_Date,Avg Max Temp (°C),Avg Min Temp (°C),Avg Apparent Max Temp (°C),Avg Apparent Min Temp (°C),Total Precipitation (mm),Avg Wind Speed (km/h),Avg Daylight Duration (hours),Avg Sunrise Time,Avg Sunset Time
2024-04-29,2024-05-06,33.675,24.9125,39.8125,29.8125,43.6,15.1375,12.3916666666667,353,1097
2024-05-06,2024-05-13,33.25,24.2375,39.6375,28.95,79,15.875,12.4270833333333,351,1097
2024-05-13,2024-05-20,29.5625,23.475,35.1625,27.75,186.6,14.175,12.4583333333333,351,1098
2024-05-20,2024-05-27,27.4,23.3625,30.975,26.1875,245.9,24.4875,12.49375,350,1099
2024-05-27,2024-06-03,28.325,23.8,32.8875,26.9875,169,17.85,12.5166666666667,350,1101
2024-06-03,2024-06-10,29.025,23.725,33.3625,26.5625,36.4,20.7625,12.53125,351,1103
2024-06-10,2024-06-17,29.0625,24.0625,33.2375,27.05,31.4,19.6,12.5395833333333,352,1104
2024-06-17,2024-06-24,28.5125,23.3375,32.6625,26.15,94.6,19.4125,12.5458333333333,353,1106
2024-06-24,2024-07-01,28.7375,23.0625,33.2,26.2125,89.9,17.675,12.5395833333333,355,1107
2024-07-01,2024-07-08,28.65,23.5625,33.475,26.55,45.1,15.925,12.53125,356,1108
2024-07-08,2024-07-15,28.525,23.675,32.8,26.725,80.7,17.2375,12.5083333333333,358,1109
2024-07-15,2024-07-22,28.75,23.775,33.1125,26.7,64.5,18.5,12.4895833333333,359,1109
2024-07-22,2024-07-29,30.55,24.89,35.81,28.43,72.5,18.51,12.46,360,1108
2024-07-29,2024-08-05,29.44,24.3,34.5,27.69,79.8,17.07,12.43,361,1107
2024-08-05,2024-08-12,30.05,24.51,35.55,28.05,85.1,16.04,12.39,362,1105
2024-08-12,2024-08-19,29.04,24.04,34.26,27.54,111.7,16.96,12.35,362,1103
2024-08-19,2024-08-26,29.39,24.09,34.01,27.09,42.8,19.39,12.31,361,1100
2024-08-26,2024-09-02,29.43,23.98,33.97,26.97,72.1,18.91,12.27,360,1097
2024-09-02,2024-09-09,29.18,23.92,33.91,27.09,76.7,19.93,12.22,359,1093
2024-09-09,2024-09-16,29.5,23.9,34.59,27.27,49,19.31,12.18,358,1089
2024-09-16,2024-09-23,29.93,24.02,34.55,27.43,35.7,19.55,12.13,357,1085
2024-09-23,2024-09-30,30.7,23.82,36.91,27.44,35.4,15.56,12.08,356,1081
