Week_Start_Date,Week_End_Date,Avg Max Temp (°C),Avg Min Temp (°C),Avg Apparent Max Temp (°C),Avg Apparent Min Temp (°C),Total Precipitation (mm),Avg Wind Speed (km/h),Avg Daylight Duration (hours),Avg Sunrise Time,Avg Sunset Time
2024-04-29,2024-05-06,38.2125,27.3875,43.8625,32.5375,13.8,18.2,12.46875,350,1099
2024-05-06,2024-05-13,35.6125,26.175,41.9125,31.1125,34.2,14.35,12.5208333333333,348,1100
2024-05-13,2024-05-20,31.225,25.25,37.6,30.5125,121.3,13.875,12.5645833333333,347,1101
2024-05-20,2024-05-27,30.9625,26.3375,34.4875,29.7125,37.7,29.3875,12.5958333333333,347,1102
2024-05-27,2024-06-03,32.85,27.0375,38.2375,30.9875,29.7,24.525,12.625,347,1104
2024-06-03,2024-06-10,31.825,26.1625,35.775,29.425,4.8,27.5,12.65,347,1106
2024-06-10,2024-06-17,32.6,27.075,35.9875,30.2375,0.2,27.025,12.6645833333333,348,1108
2024-06-17,2024-06-24,32.85,27.075,35.6375,29.8875,5.7,29.025,12.6708333333333,349,1109
2024-06-24,2024-07-01,33.1625,26.925,35.675,29.525,6.3,28.2625,12.6666666666667,351,1111
2024-07-01,2024-07-08,33.825,26.825,37.4625,29.9625,5.4,23.2875,12.65,353,1112
2024-07-08,2024-07-15,33.8125,27,37.0375,30.1625,8.7,24.275,12.6333333333333,354,1112
2024-07-15,2024-07-22,33.2375,27.45,34.55,29.8125,2.6,29.975,12.5958333333333,356,1112
2024-07-22,2024-07-29,34.35,27.4,37,30.29,0.3,27.09,12.57,357,1111
2024-07-29,2024-08-05,34.62,26.79,37.95,29.94,7.7,24.05,12.52,358,1110
2024-08-05,2024-08-12,33.7,26.04,39.4,30.18,40.9,14.79,12.48,359,1107
2024-08-12,2024-08-19,32.71,25.55,37.65,29.65,28.5,19.24,12.42,359,1104
2024-08-19,2024-08-26,32.9,26.07,35.64,28.94,7.6,26.15,12.37,359,1101
2024-08-26,2024-09-02,33.4,26.84,35.79,29.57,3.8,27.22,12.32,359,1098
2024-09-02,2024-09-09,34.66,26.96,37.74,29.79,5.3,25.5,12.25,358,1094
2024-09-09,2024-09-16,34.92,27.08,37.54,30.01,1.7,26.42,12.2,358,1089
2024-09-16,2024-09-23,35.31,26.99,38.23,29.55,1.9,24.02,12.14,357,1085
2024-09-23,2024-09-30,34.79,26.36,38.49,30.28,5.3,21,12.07,356,1081
