Week_Start_Date,Week_End_Date,Avg Max Temp (°C),Avg Min Temp (°C),Avg Apparent Max Temp (°C),Avg Apparent Min Temp (°C),Total Precipitation (mm),Avg Wind Speed (km/h),Avg Daylight Duration (hours),Avg Sunrise Time,Avg Sunset Time
2024-04-29,2024-05-06,34.6375,25.4,41.325,30.625,40.1,15.1,12.4,353,1097
2024-05-06,2024-05-13,33.9875,24.675,40.825,29.775,115.5,12.2125,12.4354166666667,351,1097
2024-05-13,2024-05-20,30.2125,24.0875,36.225,28.75,182,15.25,12.4708333333333,350,1098
2024-05-20,2024-05-27,28.0375,23.8375,31.875,26.8875,155.6,25.3125,12.4979166666667,350,1099
2024-05-27,2024-06-03,29.175,24.25,33.8625,27.6,42.6,20.6125,12.525,350,1101
2024-06-03,2024-06-10,30.025,24.1875,34.7,27.25,17.8,21.275,12.5416666666667,350,1103
2024-06-10,2024-06-17,30.125,24.525,34.4375,27.75,24.7,20.9875,12.55625,351,1105
2024-06-17,2024-06-24,29.3625,23.9,33.6,26.85,45.3,21.2875,12.55625,353,1106
2024-06-24,2024-07-01,29.4125,23.6375,33.825,26.8625,41.1,19.55,12.5541666666667,354,1107
2024-07-01,2024-07-08,29.3875,24.1375,34.0375,27.35,22.3,18.0875,12.54375,356,1108
2024-07-08,2024-07-15,29.4125,24.2,33.55,27.5125,45.9,19.9375,12.51875,357,1109
2024-07-15,2024-07-22,29.1875,24.025,33.225,27.2625,43.5,20.2625,12.4958333333333,359,1109
2024-07-22,2024-07-29,30.89,24.46,35.26,27.86,26.4,21.21,12.47,360,1108
2024-07-29,2024-08-05,29.81,23.99,34.19,27.25,36.5,19.55,12.44,361,1107
2024-08-05,2024-08-12,30.37,24.18,35.59,27.69,54.5,17.18,12.4,361,1105
2024-08-12,2024-08-19,29.35,23.69,34.48,27.22,92.5,17.39,12.36,361,1103
2024-08-19,2024-08-26,29.45,23.72,33.42,26.69,43.1,20.18,12.32,361,1100
2024-08-26,2024-09-02,29.64,23.7,33.76,26.49,38.6,20.97,12.28,360,1097
2024-09-02,2024-09-09,29.15,23.67,33.58,26.66,43.8,21.68,12.22,359,1093
2024-09-09,2024-09-16,29.69,23.79,34.2,26.95,27.5,20.44,12.18,358,1089
2024-09-16,2024-09-23,30.44,23.71,34.19,26.88,18.4,21.06,12.13,357,1085
2024-09-23,2024-09-30,31.32,23.77,36.81,27.34,37.7,16.48,12.08,356,1081
