Week_Start_Date,Week_End_Date,Avg Max Temp (°C),Avg Min Temp (°C),Avg Apparent Max Temp (°C),Avg Apparent Min Temp (°C),Total Precipitation (mm),Avg Wind Speed (km/h),Avg Daylight Duration (hours),Avg Sunrise Time,Avg Sunset Time
2024-04-29,2024-05-06,34.7,28.125,40.2375,32.775,6.1,25.325,12.45625,352,1100
2024-05-06,2024-05-13,33.575,26.8375,39.65,31.3375,43.4,19.375,12.5020833333333,351,1101
2024-05-13,2024-05-20,30.6625,25.9125,36.6,31.025,107.9,17.7375,12.54375,349,1102
2024-05-20,2024-05-27,30.3375,27.2125,33.025,29.4375,71.2,38.525,12.58125,349,1103
2024-05-27,2024-06-03,31.2,27.7,35.925,30.925,16.5,32.625,12.6083333333333,349,1105
2024-06-03,2024-06-10,30.125,26.95,33.225,29.4,17.3,34.65,12.6270833333333,349,1107
2024-06-10,2024-06-17,30.7625,27.925,34.0625,30.0125,3.3,34.2,12.64375,350,1109
2024-06-17,2024-06-24,30.7875,27.6125,33.6125,29.0625,3.4,36.775,12.6416666666667,352,1110
2024-06-24,2024-07-01,30.625,27.3125,32.975,28.8875,2.5,36.1,12.6416666666667,353,1112
2024-07-01,2024-07-08,31,27.325,34.3,29.2375,2.5,32.8875,12.6270833333333,355,1113
2024-07-08,2024-07-15,31.2125,27.525,34.4,29.5125,3.7,33.125,12.60625,357,1113
2024-07-15,2024-07-22,30.7625,27.5125,32.5125,29.075,2.8,36.25,12.575,358,1113
2024-07-22,2024-07-29,28.9,27.44,30.68,28.24,0.1,45.05,12.54,360,1112
2024-07-29,2024-08-05,28.23,27.09,31.01,28,0.6,43.81,12.5,361,1111
2024-08-05,2024-08-12,28.26,27.12,33.49,28.91,36.8,36.96,12.45,362,1109
2024-08-12,2024-08-19,28.44,27.01,32.05,28.66,54.3,38.01,12.41,362,1106
2024-08-19,2024-08-26,28.15,27.25,30.25,27.74,55.6,43.95,12.36,362,1103
2024-08-26,2024-09-02,28.41,27.56,30.28,27.62,6.4,46.91,12.3,362,1100
2024-09-02,2024-09-09,28.29,27.53,31.09,27.9,1.7,47.27,12.25,361,1096
2024-09-09,2024-09-16,28.43,27.59,31.04,28.27,0.3,45.68,12.19,360,1091
2024-09-16,2024-09-23,28.46,27.7,31.97,27.94,0,46.89,12.14,359,1087
2024-09-23,2024-09-30,28.88,27.38,33.14,29.55,6.3,36.06,12.08,359,1083
