Week_Start_Date,Week_End_Date,Avg Max Temp (°C),Avg Min Temp (°C),Avg Apparent Max Temp (°C),Avg Apparent Min Temp (°C),Total Precipitation (mm),Avg Wind Speed (km/h),Avg Daylight Duration (hours),Avg Sunrise Time,Avg Sunset Time
2024-04-29,2024-05-06,32.375,23.275,38.4,27.7875,39.4,12.9,12.4,352,1096
2024-05-06,2024-05-13,30.7875,23.2875,36.825,27.7875,177.4,11.2625,12.4375,350,1096
2024-05-13,2024-05-20,27.7625,22.6625,32.625,26.625,154.9,13.05,12.4708333333333,349,1097
2024-05-20,2024-05-27,25.6,22.525,28.5,24.7625,153.1,24.6625,12.5,349,1099
2024-05-27,2024-06-03,27.35,23.2,31.7875,26,47.8,19.35,12.525,349,1100
2024-06-03,2024-06-10,27.75,22.5,32,25.4125,26.5,20.3,12.54375,349,1102
2024-06-10,2024-06-17,27.4,22.7875,30.9,25.3125,25,21.875,12.55625,350,1104
2024-06-17,2024-06-24,27,22.375,30.2125,24.625,43,22.4375,12.55625,352,1105
2024-06-24,2024-07-01,26.9375,22.0375,30.35,24.35,43.7,21.1375,12.5520833333333,353,1106
2024-07-01,2024-07-08,27,22.6125,30.8375,25.25,27.3,18.525,12.5416666666667,355,1108
2024-07-08,2024-07-15,26.525,22.4125,29.575,25.025,48.6,20.1625,12.5270833333333,356,1108
2024-07-15,2024-07-22,26.8375,22.4375,29.9,24.7375,52.2,22.2,12.4979166666667,358,1108
2024-07-22,2024-07-29,28.41,23.47,32.3,26.26,34.7,21.97,12.47,359,1107
2024-07-29,2024-08-05,27.61,22.99,31.84,25.94,36.6,20.51,12.44,360,1106
2024-08-05,2024-08-12,28.16,22.73,33.12,25.95,76.7,16.59,12.4,360,1104
2024-08-12,2024-08-19,27.7,22.75,32.76,26.31,116.3,16.06,12.35,360,1102
2024-08-19,2024-08-26,27.74,22.71,31.49,25.5,30.1,20.04,12.32,360,1099
2024-08-26,2024-09-02,27.22,22.64,30.91,25.13,26.7,21.91,12.27,359,1096
2024-09-02,2024-09-09,26.89,22.5,30.7,25.23,41.5,22.26,12.23,358,1092
2024-09-09,2024-09-16,27.65,22.76,31.71,25.68,31.8,22.38,12.18,357,1088
2024-09-16,2024-09-23,27.67,22.49,31.33,25.39,24.2,22.09,12.13,356,1084
2024-09-23,2024-09-30,28.88,22.65,34.04,25.91,64.1,16.64,12.08,355,1080
