Week_Start_Date,Week_End_Date,Avg Max Temp (°C),Avg Min Temp (°C),Avg Apparent Max Temp (°C),Avg Apparent Min Temp (°C),Total Precipitation (mm),Avg Wind Speed (km/h),Avg Daylight Duration (hours),Avg Sunrise Time,Avg Sunset Time
2024-04-29,2024-05-06,30.3,27.1125,36.525,31.9875,28.8,20.975,12.3375,354,1094
2024-05-06,2024-05-13,30.075,26.6125,36.1,31.6,53.9,17.1625,12.3729166666667,352,1095
2024-05-13,2024-05-20,28.8375,26.2875,33.975,30.3875,149.9,23.175,12.39375,352,1095
2024-05-20,2024-05-27,28.525,26.1625,30.8125,27.2625,191.3,40.3875,12.4125,352,1096
2024-05-27,2024-06-03,28.525,26.2125,31.7,28.4375,137.4,31.9125,12.4354166666667,352,1098
2024-06-03,2024-06-10,28.7625,26.25,32.625,29.5875,59.6,26.0125,12.4541666666667,352,1099
2024-06-10,2024-06-17,28.75,26.525,31.9875,29.025,25.2,30.5,12.4645833333333,353,1101
2024-06-17,2024-06-24,28.6,25.975,31.7125,27.8625,60.9,33.325,12.4666666666667,355,1103
2024-06-24,2024-07-01,28.4125,26.0625,31.9,29.025,47,29.0875,12.4666666666667,356,1104
2024-07-01,2024-07-08,28.5375,26.075,32.3375,28.9,24.7,27.5625,12.4541666666667,358,1105
2024-07-08,2024-07-15,28.2875,26.275,31.625,28.6125,11.6,29.5875,12.4395833333333,359,1106
2024-07-15,2024-07-22,28.05,26.1375,31.85,28.9625,15,27.9125,12.4208333333333,360,1106
2024-07-22,2024-07-29,28.38,26.29,32.33,29.18,44.3,29.04,12.4,361,1105
2024-07-29,2024-08-05,28.18,25.41,31.64,27.73,46,30.34,12.37,362,1104
2024-08-05,2024-08-12,28.6,26.12,31.9,28.71,23,29.6,12.34,362,1103
2024-08-12,2024-08-19,28,25.76,31.67,28.61,89,26.39,12.31,362,1100
2024-08-19,2024-08-26,28.16,25.97,32.05,28.98,72.8,25.95,12.28,361,1098
2024-08-26,2024-09-02,28.48,25.96,31.69,28.27,65.3,28.95,12.24,360,1095
2024-09-02,2024-09-09,28.54,25.96,31.24,28,65.8,33.54,12.2,359,1091
2024-09-09,2024-09-16,28.46,25.45,31.83,28.05,29.7,30.88,12.16,358,1088
2024-09-16,2024-09-23,28,25.43,30.67,27.4,41.8,33.34,12.13,356,1084
2024-09-23,2024-09-30,28.3,25.44,32.36,28.23,28.5,28.14,12.09,355,1081
