Week_Start_Date,Week_End_Date,Avg Max Temp (°C),Avg Min Temp (°C),Avg Apparent Max Temp (°C),Avg Apparent Min Temp (°C),Total Precipitation (mm),Avg Wind Speed (km/h),Avg Daylight Duration (hours),Avg Sunrise Time,Avg Sunset Time
2024-04-29,2024-05-06,35.4375,24.575,41.525,30.05,15.9,15.8125,12.3708333333333,349,1092
2024-05-06,2024-05-13,34.85,24.1875,41.3125,29.7125,94.6,13.275,12.4104166666667,348,1092
2024-05-13,2024-05-20,31.0125,23.6625,37.3625,28.775,115,11.325,12.4395833333333,347,1093
2024-05-20,2024-05-27,30.75,24.4625,34.7625,27.4375,7,23.8375,12.46875,347,1095
2024-05-27,2024-06-03,32.7125,24,38.3375,28.2125,34.7,17.625,12.4916666666667,347,1096
2024-06-03,2024-06-10,32.1,24.1,35.775,27.35,4.4,23.0375,12.50625,347,1098
2024-06-10,2024-06-17,33.825,24.325,38.175,27.725,9.7,19.225,12.5145833333333,348,1099
2024-06-17,2024-06-24,34.225,24.5375,37.75,27.625,3.8,20.9875,12.51875,350,1101
2024-06-24,2024-07-01,34.3625,23.975,38.325,27.575,8.3,16.3875,12.5166666666667,351,1102
2024-07-01,2024-07-08,33.8875,23.9,38.9,27.9375,12.1,15.5875,12.50625,353,1103
2024-07-08,2024-07-15,34.0375,23.6625,39.175,27.6875,4.5,11.4375,12.4854166666667,354,1104
2024-07-15,2024-07-22,35.625,24.2125,39.9625,27.575,2,15.2125,12.4604166666667,356,1104
2024-07-22,2024-07-29,34.16,24.82,35.41,27.57,10.9,33.85,12.43,359,1104
2024-07-29,2024-08-05,33.57,24.39,35.14,26.88,19.9,30.35,12.39,360,1103
2024-08-05,2024-08-12,34.29,24.36,37.23,27.59,27.1,24.31,12.37,360,1102
2024-08-12,2024-08-19,31.09,23.66,35.75,27.54,85.9,19.25,12.33,360,1099
2024-08-19,2024-08-26,30.66,23.25,34.04,26.64,34.7,21.34,12.29,359,1096
2024-08-26,2024-09-02,32.1,24.35,33.88,26.3,9.8,28.66,12.25,358,1093
2024-09-02,2024-09-09,32.88,24.68,34.58,26.38,9.5,31.66,12.21,357,1090
2024-09-09,2024-09-16,33.92,24.97,35.3,27.01,5.3,31.38,12.17,356,1086
2024-09-16,2024-09-23,33.58,24.92,34.21,26.49,0.4,34.6,12.13,355,1082
2024-09-23,2024-09-30,33.98,24.11,37.16,27.28,52.8,23.1,12.09,353,1079
