Week_Start_Date,Week_End_Date,Avg Max Temp (°C),Avg Min Temp (°C),Avg Apparent Max Temp (°C),Avg Apparent Min Temp (°C),Total Precipitation (mm),Avg Wind Speed (km/h),Avg Daylight Duration (hours),Avg Sunrise Time,Avg Sunset Time
2024-04-29,2024-05-06,36.1625,27.275,42.875,32.5125,1.3,18.525,12.4666666666667,349,1097
2024-05-06,2024-05-13,34.075,26.4375,41.3125,31.7,68.4,15.125,12.5145833333333,347,1098
2024-05-13,2024-05-20,30.6875,25.75,37.3625,31.025,164.1,15.1625,12.55625,346,1099
2024-05-20,2024-05-27,31.875,26.5375,35.5375,29.7375,25,28.825,12.59375,345,1101
2024-05-27,2024-06-03,34.1125,26.85,39.4125,30.5375,42.5,24.2,12.6291666666667,345,1102
2024-06-03,2024-06-10,32.9375,26.2,37.3625,29.45,12,23.625,12.64375,345,1104
2024-06-10,2024-06-17,34.125,26.9,37.425,29.9625,0.9,24.9,12.65625,346,1106
2024-06-17,2024-06-24,34.7625,26.925,37.775,29.6375,2.1,26.9625,12.6583333333333,348,1107
2024-06-24,2024-07-01,35.025,26.9625,37.325,29.6125,2.9,26.275,12.6604166666667,349,1109
2024-07-01,2024-07-08,34.95,26.7375,38.5625,29.8125,10.5,22.725,12.6458333333333,351,1110
2024-07-08,2024-07-15,34.7125,26.9125,38.25,29.85,6,23.3375,12.6291666666667,353,1111
2024-07-15,2024-07-22,34.8875,27.4,35.95,29.6375,1.9,27.7,12.5958333333333,354,1110
2024-07-22,2024-07-29,35.02,26.25,36.85,29.12,1.8,27.61,12.54,358,1110
2024-07-29,2024-08-05,35.02,25.76,37.79,28.91,18.6,24.4,12.5,359,1109
2024-08-05,2024-08-12,33.27,24.93,39.01,28.76,82.1,16.16,12.45,359,1106
2024-08-12,2024-08-19,31.59,24.46,36.7,28.19,54.9,18.51,12.4,360,1104
2024-08-19,2024-08-26,31.73,24.86,35.24,27.79,22.2,23.84,12.35,360,1101
2024-08-26,2024-09-02,32.84,25.54,35.42,28.21,8.7,26.25,12.3,359,1097
2024-09-02,2024-09-09,34.41,25.93,37.12,28.65,5.4,26.25,12.25,358,1093
2024-09-09,2024-09-16,34.91,25.95,37.25,28.81,7.8,26.05,12.19,358,1089
2024-09-16,2024-09-23,35.32,25.95,37.62,28.5,2.1,24.1,12.14,357,1085
2024-09-23,2024-09-30,35.4,25.4,38.64,29.21,24.5,22.09,12.08,356,1081
