Week_Start_Date,Week_End_Date,Avg Max Temp (°C),Avg Min Temp (°C),Avg Apparent Max Temp (°C),Avg Apparent Min Temp (°C),Total Precipitation (mm),Avg Wind Speed (km/h),Avg Daylight Duration (hours),Avg Sunrise Time,Avg Sunset Time
2024-04-29,2024-05-06,23.925,14.45,26.6625,14.8125,10.3,9.7875,12.3791666666667,352,1095
2024-05-06,2024-05-13,22.425,14.4,25.1625,15.15,74.9,7.2,12.4125,350,1095
2024-05-13,2024-05-20,20.3625,14.225,22.3125,14.75,120.8,12.5375,12.4458333333333,349,1096
2024-05-20,2024-05-27,17.775,15.2375,16.8625,13.1875,338.7,31.5375,12.475,349,1097
2024-05-27,2024-06-03,19.725,15.2625,20.4625,15.15,145.1,19.5125,12.4979166666667,349,1099
2024-06-03,2024-06-10,21.125,14.2875,22.625,14.675,26.2,13.575,12.5104166666667,350,1100
2024-06-10,2024-06-17,19.975,13.775,20.6875,13.0625,17.9,19.2,12.5208333333333,351,1102
2024-06-17,2024-06-24,18.8875,14.15,18.65,13,92.6,22.0875,12.5270833333333,352,1104
2024-06-24,2024-07-01,18.5875,13.6875,18.4875,12.4375,91.3,22.3,12.5208333333333,354,1105
2024-07-01,2024-07-08,19.075,13.8625,19.6875,13.475,27.1,17.4,12.5125,355,1106
2024-07-08,2024-07-15,18.225,13.4625,18.1625,11.975,75,23.1,12.49375,357,1107
2024-07-15,2024-07-22,17.475,13.7875,16.1375,10.6125,70,32.025,12.4729166666667,358,1107
2024-07-22,2024-07-29,18.31,13.86,17.34,11.15,59.7,30.12,12.45,359,1106
2024-07-29,2024-08-05,18.78,13.69,19.12,12.64,46.2,20.4,12.42,360,1105
2024-08-05,2024-08-12,19.54,13.05,20.7,12.71,39.3,14.89,12.37,361,1103
2024-08-12,2024-08-19,20.04,14.24,21.56,14.49,105.1,13.41,12.34,360,1101
2024-08-19,2024-08-26,19.65,13.51,20.3,13.05,39.8,17.41,12.31,360,1098
2024-08-26,2024-09-02,18.06,13.93,18,12.57,47.3,22.93,12.26,359,1095
2024-09-02,2024-09-09,18.31,13.74,18.04,12.86,57.5,22.11,12.22,358,1091
2024-09-09,2024-09-16,18.7,13.83,19.38,13.01,36.2,20.4,12.17,357,1087
2024-09-16,2024-09-23,18.04,12.52,18.3,11.29,31.8,20.96,12.13,356,1084
2024-09-23,2024-09-30,19.43,13.06,20.59,12.54,56.1,16.04,12.08,355,1080
