Week_Start_Date,Week_End_Date,Avg Max Temp (°C),Avg Min Temp (°C),Avg Apparent Max Temp (°C),Avg Apparent Min Temp (°C),Total Precipitation (mm),Avg Wind Speed (km/h),Avg Daylight Duration (hours),Avg Sunrise Time,Avg Sunset Time
2024-04-29,2024-05-06,38.6125,26.3875,44.3375,31.6125,11.3,14.9,12.4166666666667,350,1095
2024-05-06,2024-05-13,35.925,26.05,42.5,31.2875,95,13.15,12.4520833333333,348,1095
2024-05-13,2024-05-20,31.575,24.9125,38.2125,30.25,119.8,14.6375,12.4895833333333,347,1096
2024-05-20,2024-05-27,30.9,26.325,34.7,28.9125,9.7,29.0625,12.5166666666667,347,1098
2024-05-27,2024-06-03,33.15,26.6875,38.025,30.4375,7.8,24.075,12.5416666666667,347,1099
2024-06-03,2024-06-10,33.575,25.5,38.2875,29.675,15.4,20.4125,12.5666666666667,347,1101
2024-06-10,2024-06-17,34.4375,26.65,37.25,29.4125,1,24.3625,12.5770833333333,348,1103
2024-06-17,2024-06-24,34.375,26.625,37.025,29.0375,3.7,26.225,12.5833333333333,349,1104
2024-06-24,2024-07-01,33.8875,26.325,36.1,28.5625,6.2,24.775,12.5791666666667,351,1106
2024-07-01,2024-07-08,34.4625,26.8375,37.375,29.35,7.8,24.4625,12.5666666666667,353,1107
2024-07-08,2024-07-15,34.2375,26.7625,36.375,29.075,6.6,26.925,12.5541666666667,354,1107
2024-07-15,2024-07-22,33.6875,26.775,35.025,28.975,1,29.1875,12.525,355,1107
2024-07-22,2024-07-29,35.89,27.27,37.38,29.38,2.2,27.9,12.49,357,1106
2024-07-29,2024-08-05,35.3,26.59,37.92,29.31,11.6,24.05,12.46,358,1105
2024-08-05,2024-08-12,34.91,25.6,39.1,29.1,25.4,18.76,12.42,358,1103
2024-08-12,2024-08-19,33.42,25.21,38.64,29.46,68.6,18.23,12.38,358,1101
2024-08-19,2024-08-26,33.26,24.8,37.47,28.42,25,18.64,12.33,358,1098
2024-08-26,2024-09-02,34.27,26.39,36.65,28.4,5.8,25.7,12.28,357,1094
2024-09-02,2024-09-09,34.69,26.6,36.84,28.67,5.6,27.04,12.23,356,1090
2024-09-09,2024-09-16,35.71,26.75,38.29,29.07,7.7,26.3,12.19,355,1087
2024-09-16,2024-09-23,35.85,26.34,37.59,28.29,1.2,27.25,12.13,354,1082
2024-09-23,2024-09-30,35.34,25.53,38.79,29.17,18.2,22.15,12.08,354,1079
