Week_Start_Date,Week_End_Date,Avg Max Temp (°C),Avg Min Temp (°C),Avg Apparent Max Temp (°C),Avg Apparent Min Temp (°C),Total Precipitation (mm),Avg Wind Speed (km/h),Avg Daylight Duration (hours),Avg Sunrise Time,Avg Sunset Time
2024-04-29,2024-05-06,33.5875,26.4625,40.4375,32.0125,22.4,18.0875,12.4208333333333,354,1099
2024-05-06,2024-05-13,32.9875,25.825,39.7,30.875,76.6,15.2,12.4625,352,1100
2024-05-13,2024-05-20,30.4375,24.725,36.7375,29.975,232.6,14.5875,12.4979166666667,351,1101
2024-05-20,2024-05-27,29.675,25.9,33.3625,29.2375,168.2,28.625,12.53125,351,1102
2024-05-27,2024-06-03,30.3625,26.1625,35.2625,30.1,40.4,25.625,12.5583333333333,351,1104
2024-06-03,2024-06-10,29.85,25.7125,34.3375,29.3875,30.2,25.025,12.5770833333333,351,1106
2024-06-10,2024-06-17,30.125,26.575,34.725,30.2125,23.5,25.4,12.5875,352,1108
2024-06-17,2024-06-24,29.7,26.3625,33.775,29.525,43.2,26.65,12.5916666666667,354,1109
2024-06-24,2024-07-01,29.375,26.175,33.475,29.5375,26.7,25.3625,12.5854166666667,355,1110
2024-07-01,2024-07-08,29.6125,25.575,34.225,29.275,27.2,23.2875,12.575,357,1112
2024-07-08,2024-07-15,29.5,26.1625,33.7625,29.625,41.3,25.1,12.5479166666667,359,1112
2024-07-15,2024-07-22,29.5125,26.7125,33.375,29.9375,22.3,26.1125,12.525,360,1112
2024-07-22,2024-07-29,29.26,26.4,34.16,30.1,34.4,23.84,12.47,362,1110
2024-07-29,2024-08-05,28.96,25.62,33.99,29.33,59,22.19,12.44,363,1109
2024-08-05,2024-08-12,29.05,25.44,34.79,29.46,64,19.51,12.4,363,1107
2024-08-12,2024-08-19,28.7,24.91,33.65,28.95,84.1,19.22,12.35,364,1105
2024-08-19,2024-08-26,28.74,25.4,32.85,29.03,49.5,22.39,12.32,363,1102
2024-08-26,2024-09-02,28.96,25.4,33.17,28.77,95.3,23.94,12.27,362,1099
2024-09-02,2024-09-09,29.09,25.61,33.32,28.91,89.5,25.41,12.23,361,1095
2024-09-09,2024-09-16,29.21,25.27,33.95,28.81,65,23.55,12.18,360,1091
2024-09-16,2024-09-23,29.45,25.96,33.89,29.2,32.5,24.22,12.13,359,1087
2024-09-23,2024-09-30,30.18,25.29,36.27,29.25,49.5,19.44,12.08,358,1083
