Week_Start_Date,Week_End_Date,Avg Max Temp (°C),Avg Min Temp (°C),Avg Apparent Max Temp (°C),Avg Apparent Min Temp (°C),Total Precipitation (mm),Avg Wind Speed (km/h),Avg Daylight Duration (hours),Avg Sunrise Time,Avg Sunset Time
2024-04-29,2024-05-06,32.625,25.15,41.025,30.875,68.8,9.8375,12.3625,354,1096
2024-05-06,2024-05-13,31.7625,24.925,39.75,30.5625,93.3,9.4125,12.40625,352,1096
2024-05-13,2024-05-20,29.8625,24.55,36.7125,29.8375,185.3,10.9,12.43125,351,1097
2024-05-20,2024-05-27,28.5,24.4375,34.4,29.0625,349.5,17.75,12.4645833333333,351,1098
2024-05-27,2024-06-03,28.8,24.1125,35.075,28.8125,348.5,10.9125,12.4854166666667,351,1100
2024-06-03,2024-06-10,29.5375,24.2625,35.8,28.875,73.9,12.8375,12.4979166666667,352,1102
2024-06-10,2024-06-17,29.7375,24.2875,36.1,29.6125,37.4,12.35,12.50625,353,1103
2024-06-17,2024-06-24,29.175,23.9625,35.3125,28.8,195.2,14.3,12.5125,354,1105
2024-06-24,2024-07-01,29.2375,23.65,35.3375,28.0625,112.4,12.975,12.50625,356,1106
2024-07-01,2024-07-08,28.925,24.0625,35.25,28.9875,94.2,10.375,12.4979166666667,357,1107
2024-07-08,2024-07-15,29.1625,23.9375,35.0875,28.75,83.9,13.675,12.4770833333333,359,1108
2024-07-15,2024-07-22,29.425,24.175,35.45,28.7625,66.7,14.8625,12.45625,360,1108
2024-07-22,2024-07-29,30.06,24.34,36.36,29.05,113.5,16.31,12.44,361,1107
2024-07-29,2024-08-05,29.12,23.84,35.27,28.62,133.8,13.51,12.41,362,1106
2024-08-05,2024-08-12,29.26,23.72,35.41,28.55,128.8,12.75,12.36,363,1104
2024-08-12,2024-08-19,28.6,23.85,34.86,28.53,207.1,11.3,12.33,362,1102
2024-08-19,2024-08-26,29.08,23.53,35.06,27.66,87.5,13.14,12.3,362,1099
2024-08-26,2024-09-02,29.15,23.3,34.81,27.84,137.3,12.84,12.25,361,1096
2024-09-02,2024-09-09,28.76,23.5,34.81,28.14,157.5,14.21,12.21,360,1093
2024-09-09,2024-09-16,28.96,23.72,35.24,28.48,83.6,12.01,12.17,359,1089
2024-09-16,2024-09-23,29.32,23.42,35.45,28.25,50.5,14.93,12.13,357,1085
2024-09-23,2024-09-30,29.73,23.27,36.92,27.74,89.8,11.51,12.09,356,1082
