Week_Start_Date,Week_End_Date,Avg Max Temp (°C),Avg Min Temp (°C),Avg Apparent Max Temp (°C),Avg Apparent Min Temp (°C),Total Precipitation (mm),Avg Wind Speed (km/h),Avg Daylight Duration (hours),Avg Sunrise Time,Avg Sunset Time
2024-04-29,2024-05-06,35.7125,27.0625,42.25,32.3375,3.5,19.4375,12.4416666666667,348,1095
2024-05-06,2024-05-13,33.825,26.0375,41,31.1625,73.2,14.8,12.4875,346,1095
2024-05-13,2024-05-20,31.3,25.625,37.725,30.7125,182.3,13.95,12.525,345,1097
2024-05-20,2024-05-27,32.275,26.3625,35.2125,29.2,10.4,29.625,12.5583333333333,345,1098
2024-05-27,2024-06-03,34.1125,26.6625,38.7375,30.1,26.7,24.6625,12.5854166666667,345,1100
2024-06-03,2024-06-10,33.125,26.1875,37.8375,29.575,17.1,20.575,12.6083333333333,345,1101
2024-06-10,2024-06-17,34.575,26.525,37.9375,29.4625,0.9,24.4125,12.6208333333333,346,1103
2024-06-17,2024-06-24,34.775,26.5375,37.5125,29,7.8,26.3875,12.625,347,1105
2024-06-24,2024-07-01,34.825,26.6125,37.075,29.0125,3.8,26.1875,12.61875,349,1106
2024-07-01,2024-07-08,35.0375,26.3375,38.6875,29.2125,6.4,23.4375,12.60625,351,1107
2024-07-08,2024-07-15,34.7375,26.575,37.8125,29.2,15.8,23.8875,12.5875,352,1108
2024-07-15,2024-07-22,34.8125,27.0625,36.025,29.3375,0.4,27.7375,12.5604166666667,354,1108
2024-07-22,2024-07-29,37.04,27.12,39.24,29.56,0.8,26.16,12.53,355,1107
2024-07-29,2024-08-05,36.01,26.41,39.38,29.31,34.5,23.3,12.49,356,1105
2024-08-05,2024-08-12,32.95,25.4,39.71,29.16,87.1,16.54,12.45,357,1103
2024-08-12,2024-08-19,31.73,25.3,37.25,29.31,46.5,17.59,12.4,357,1101
2024-08-19,2024-08-26,32.39,25.49,36.26,28.59,14.2,21.27,12.35,357,1098
2024-08-26,2024-09-02,33.85,25.91,37.4,28.32,17.7,25.94,12.3,356,1094
2024-09-02,2024-09-09,34.81,26.25,37.81,28.54,16.4,26.21,12.24,356,1090
2024-09-09,2024-09-16,36.2,26.51,39.05,28.94,3.9,25.31,12.19,355,1086
2024-09-16,2024-09-23,36.12,26.33,38.61,28.45,18,24.12,12.13,354,1082
2024-09-23,2024-09-30,33.55,26.03,38.24,29.55,33.7,21.86,12.08,353,1078
