Week_Start_Date,Week_End_Date,Avg Max Temp (°C),Avg Min Temp (°C),Avg Apparent Max Temp (°C),Avg Apparent Min Temp (°C),Total Precipitation (mm),Avg Wind Speed (km/h),Avg Daylight Duration (hours),Avg Sunrise Time,Avg Sunset Time
2024-04-29,2024-05-06,37.775,26.1375,42.9,31.1875,12.6,16.2625,12.4479166666667,350,1097
2024-05-06,2024-05-13,34.9375,24.9875,41.7,29.8375,88.9,12.825,12.4895833333333,349,1098
2024-05-13,2024-05-20,31.35,24.55,37.625,29.4875,128.4,14.55,12.5291666666667,347,1099
2024-05-20,2024-05-27,30.4375,25.15,33.8375,28.175,46.3,29.1,12.5708333333333,347,1101
2024-05-27,2024-06-03,32.075,25.85,36.6875,29.425,22.1,24.425,12.5979166666667,347,1102
2024-06-03,2024-06-10,31.4625,25.05,35.6,28.2125,12,23.3,12.6166666666667,347,1104
2024-06-10,2024-06-17,32.775,25.6,36.3,28.875,2.6,24.95,12.6291666666667,348,1106
2024-06-17,2024-06-24,32.65,25.6375,35.55,28.4,5.7,27.3125,12.6333333333333,350,1108
2024-06-24,2024-07-01,33.075,25.65,35.525,28.35,3.5,26.9375,12.6291666666667,351,1109
2024-07-01,2024-07-08,34.1625,25.675,37.0125,28.775,4.1,23.6125,12.6166666666667,353,1110
2024-07-08,2024-07-15,34.0125,25.8,36.8125,28.6375,8,24.45,12.5979166666667,355,1111
2024-07-15,2024-07-22,33.675,26.25,34.8625,28.4,4.2,28.25,12.5708333333333,356,1110
2024-07-22,2024-07-29,35.48,26.18,37.27,29.01,2.8,26.74,12.53,357,1109
2024-07-29,2024-08-05,35.17,25.72,37.9,28.83,17.2,24.52,12.49,358,1108
2024-08-05,2024-08-12,33.36,24.93,38.91,28.69,85.8,17.09,12.46,359,1106
2024-08-12,2024-08-19,31.7,24.5,36.81,28.23,57.4,18.19,12.4,360,1103
2024-08-19,2024-08-26,31.59,24.71,35.09,27.62,19.9,22.99,12.35,359,1100
2024-08-26,2024-09-02,32.66,25.25,35.51,28.01,5.7,25.64,12.3,359,1097
2024-09-02,2024-09-09,33.96,25.73,36.91,28.44,2.7,26.05,12.25,358,1093
2024-09-09,2024-09-16,34.76,25.7,37.4,28.55,3.4,25.9,12.19,357,1089
2024-09-16,2024-09-23,35.3,25.77,37.75,28.34,2.9,24.91,12.13,356,1084
2024-09-23,2024-09-30,34.85,25.25,38.59,29.06,20.3,21.27,12.08,356,1080
